Year,Units,Регионы,Пол,Местность,GeoCode,Value
2013,процент,Северо-Казахстанская,,городское население,,0.4
2014,процент,Северо-Казахстанская,,городское население,,0.3
2015,процент,Северо-Казахстанская,,городское население,,0.2
2016,процент,Северо-Казахстанская,,городское население,,0.0
2017,процент,Северо-Казахстанская,,городское население,,0.0
2018,процент,Северо-Казахстанская,,городское население,,0.0
2018,процент,Туркестанская,,городское население,,0.1
2010,процент,Восточно-Казахстанская,,городское население,,0.1
2011,процент,Восточно-Казахстанская,,городское население,,0.1
2012,процент,Восточно-Казахстанская,,городское население,,0.0
2013,процент,Восточно-Казахстанская,,городское население,,0.2
2014,процент,Восточно-Казахстанская,,городское население,,0.0
2015,процент,Восточно-Казахстанская,,городское население,,0.0
2016,процент,Восточно-Казахстанская,,городское население,,0.0
2017,процент,Восточно-Казахстанская,,городское население,,0.4
2018,процент,Восточно-Казахстанская,,городское население,,0.1
2010,процент,г_Нур-Султан,,городское население,,0.1
2011,процент,г_Нур-Султан,,городское население,,0.1
2012,процент,г_Нур-Султан,,городское население,,0.3
2013,процент,г_Нур-Султан,,городское население,,0.0
2014,процент,г_Нур-Султан,,городское население,,0.0
2015,процент,г_Нур-Султан,,городское население,,0.2
2016,процент,г_Нур-Султан,,городское население,,0.1
2017,процент,г_Нур-Султан,,городское население,,0.0
2018,процент,г_Нур-Султан,,городское население,,0.0
2010,процент,г_Алматы,,городское население,,0.0
2011,процент,г_Алматы,,городское население,,0.0
2012,процент,г_Алматы,,городское население,,0.0
2013,процент,г_Алматы,,городское население,,0.0
2014,процент,г_Алматы,,городское население,,0.2
2015,процент,г_Алматы,,городское население,,0.1
2016,процент,г_Алматы,,городское население,,0.2
2017,процент,г_Алматы,,городское население,,0.0
2018,процент,г_Алматы,,городское население,,0.0
2018,процент,г_Шымкент,,городское население,,0.0
2010,процент,,,сельское население,,1.5
2011,процент,,,сельское население,,1.5
2012,процент,,,сельское население,,1.1
2013,процент,,,сельское население,,0.7
2014,процент,,,сельское население,,0.6
2015,процент,,,сельское население,,0.5
2016,процент,,,сельское население,,0.3
2017,процент,,,сельское население,,0.3
2018,процент,,,сельское население,,0.3
2010,процент,Акмолинская,,сельское население,,0.3
2011,процент,Акмолинская,,сельское население,,0.2
2012,процент,Акмолинская,,сельское население,,0.4
2013,процент,Акмолинская,,сельское население,,0.2
2014,процент,Акмолинская,,сельское население,,0.5
2015,процент,Акмолинская,,сельское население,,0.3
2016,процент,Акмолинская,,сельское население,,0.4
2017,процент,Акмолинская,,сельское население,,0.5
2018,процент,Акмолинская,,сельское население,,0.1
2010,процент,Актюбинская,,сельское население,,1.1
2011,процент,Актюбинская,,сельское население,,0.0
2012,процент,Актюбинская,,сельское население,,0.1
2013,процент,Актюбинская,,сельское население,,0.0
2014,процент,Актюбинская,,сельское население,,0.0
2015,процент,Актюбинская,,сельское население,,0.0
2016,процент,Актюбинская,,сельское население,,0.0
2017,процент,Актюбинская,,сельское население,,0.0
2018,процент,Актюбинская,,сельское население,,0.1
2010,процент,Алматинская,,сельское население,,1.4
2011,процент,Алматинская,,сельское население,,2.2
2012,процент,Алматинская,,сельское население,,1.7
2013,процент,Алматинская,,сельское население,,1.1
2014,процент,Алматинская,,сельское население,,0.9
2015,процент,Алматинская,,сельское население,,0.9
2016,процент,Алматинская,,сельское население,,0.5
2017,процент,Алматинская,,сельское население,,0.2
2018,процент,Алматинская,,сельское население,,0.1
2010,процент,Атырауская,,сельское население,,0.3
2011,процент,Атырауская,,сельское население,,0.0
2012,процент,Атырауская,,сельское население,,0.1
2013,процент,Атырауская,,сельское население,,0.1
2014,процент,Атырауская,,сельское население,,0.3
2015,процент,Атырауская,,сельское население,,0.1
2016,процент,Атырауская,,сельское население,,0.2
2017,процент,Атырауская,,сельское население,,0.0
2018,процент,Атырауская,,сельское население,,0.0
2010,процент,Западно-Казахстанская,,сельское население,,2.1
2011,процент,Западно-Казахстанская,,сельское население,,1.0
2012,процент,Западно-Казахстанская,,сельское население,,0.1
2013,процент,Западно-Казахстанская,,сельское население,,0.0
2014,процент,Западно-Казахстанская,,сельское население,,0.2
2015,процент,Западно-Казахстанская,,сельское население,,0.1
2016,процент,Западно-Казахстанская,,сельское население,,0.0
2017,процент,Западно-Казахстанская,,сельское население,,0.0
2018,процент,Западно-Казахстанская,,сельское население,,0.0
2010,процент,Жамбылская,,сельское население,,1.7
2011,процент,Жамбылская,,сельское население,,2.3
2012,процент,Жамбылская,,сельское население,,2.8
2013,процент,Жамбылская,,сельское население,,2.4
2014,процент,Жамбылская,,сельское население,,1.5
2015,процент,Жамбылская,,сельское население,,1.4
2016,процент,Жамбылская,,сельское население,,0.7
2017,процент,Жамбылская,,сельское население,,0.7
2018,процент,Жамбылская,,сельское население,,1.2
2010,процент,Карагандинская,,сельское население,,2.8
2011,процент,Карагандинская,,сельское население,,1.6
2012,процент,Карагандинская,,сельское население,,1.0
2013,процент,Карагандинская,,сельское население,,0.4
2014,процент,Карагандинская,,сельское население,,0.7
2015,процент,Карагандинская,,сельское население,,0.3
2016,процент,Карагандинская,,сельское население,,0.1
2017,процент,Карагандинская,,сельское население,,0.2
2018,процент,Карагандинская,,сельское население,,0.1
2010,процент,Костанайская,,сельское население,,5.0
2011,процент,Костанайская,,сельское население,,3.8
2012,процент,Костанайская,,сельское население,,3.5
2013,процент,Костанайская,,сельское население,,1.2
2014,процент,Костанайская,,сельское население,,0.6
2015,процент,Костанайская,,сельское население,,0.6
2016,процент,Костанайская,,сельское население,,0.7
2017,процент,Костанайская,,сельское население,,0.8
2018,процент,Костанайская,,сельское население,,0.9
2010,процент,Кызылординская,,сельское население,,0.5
2011,процент,Кызылординская,,сельское население,,1.1
2012,процент,Кызылординская,,сельское население,,0.1
2013,процент,Кызылординская,,сельское население,,0.3
2014,процент,Кызылординская,,сельское население,,0.8
2015,процент,Кызылординская,,сельское население,,0.2
2016,процент,Кызылординская,,сельское население,,0.2
2017,процент,Кызылординская,,сельское население,,0.1
2018,процент,Кызылординская,,сельское население,,0.4
2010,процент,Мангистауская,,сельское население,,0.6
2011,процент,Мангистауская,,сельское население,,0.0
2012,процент,Мангистауская,,сельское население,,0.0
2013,процент,Мангистауская,,сельское население,,0.0
2014,процент,Мангистауская,,сельское население,,0.0
2015,процент,Мангистауская,,сельское население,,0.3
2016,процент,Мангистауская,,сельское население,,0.0
2017,процент,Мангистауская,,сельское население,,0.1
2018,процент,Мангистауская,,сельское население,,0.0
2010,процент,Южно-Казахстанская,,сельское население,,1.1
2011,процент,Южно-Казахстанская,,сельское население,,1.2
2012,процент,Южно-Казахстанская,,сельское население,,0.5
2013,процент,Южно-Казахстанская,,сельское население,,0.2
2014,процент,Южно-Казахстанская,,сельское население,,0.4
2015,процент,Южно-Казахстанская,,сельское население,,0.2
2016,процент,Южно-Казахстанская,,сельское население,,0.2
2017,процент,Южно-Казахстанская,,сельское население,,0.1
2010,процент,Павлодарская,,сельское население,,3.4
2011,процент,Павлодарская,,сельское население,,2.6
2012,процент,Павлодарская,,сельское население,,1.0
2013,процент,Павлодарская,,сельское население,,1.3
2014,процент,Павлодарская,,сельское население,,1.7
2015,процент,Павлодарская,,сельское население,,1.0
2016,процент,Павлодарская,,сельское население,,0.2
2017,процент,Павлодарская,,сельское население,,0.4
2018,процент,Павлодарская,,сельское население,,0.2
2010,процент,Северо-Казахстанская,,сельское население,,1.1
2011,процент,Северо-Казахстанская,,сельское население,,0.3
2012,процент,Северо-Казахстанская,,сельское население,,0.3
2013,процент,Северо-Казахстанская,,сельское население,,0.9
2014,процент,Северо-Казахстанская,,сельское население,,0.5
2015,процент,Северо-Казахстанская,,сельское население,,0.3
2016,процент,Северо-Казахстанская,,сельское население,,0.1
2017,процент,Северо-Казахстанская,,сельское население,,0.3
2018,процент,Северо-Казахстанская,,сельское население,,0.1
2010,процент,Восточно-Казахстанская,,сельское население,,0.2
2011,процент,Восточно-Казахстанская,,сельское население,,1.9
2012,процент,Восточно-Казахстанская,,сельское население,,0.2
2013,процент,Восточно-Казахстанская,,сельское население,,0.4
2014,процент,Восточно-Казахстанская,,сельское население,,0.3
2015,процент,Восточно-Казахстанская,,сельское население,,0.4
2016,процент,Восточно-Казахстанская,,сельское население,,0.2
2017,процент,Восточно-Казахстанская,,сельское население,,0.4
2018,процент,Восточно-Казахстанская,,сельское население,,0.1
2018,процент,Туркестанская,,сельское население,,0.7
