Year,Units,Регион,Город,Пол,Тип местности,Value
2012,процентах,Западно-Казахстанская,,,,4.738428641432665
2013,процентах,Западно-Казахстанская,,,,3.6607001197155675
2014,процентах,Западно-Казахстанская,,,,4.1593802605128545
2015,процентах,Западно-Казахстанская,,,,6.225739589221782
2016,процентах,Западно-Казахстанская,,,,3.3557310699831033
2017,процентах,Западно-Казахстанская,,,,3.1418925511777216
2018,процентах,Западно-Казахстанская,,,,3.0
2010,процентах,,,,,4.787209615094438
2011,процентах,,,,,10.592744090063198
2012,процентах,,,,,6.128016107556912
2013,процентах,,,,,5.240755195628842
2014,процентах,,,,,11.156079732729433
2015,процентах,,,,,11.564548174198999
2016,процентах,,,,,11.4762043229621
2017,процентах,,,,,9.963015998928597
2018,процентах,,,,,5.9
2010,процентах,,,,,2.8081353643613656
2011,процентах,,,,,10.285608001983963
2012,процентах,,,,,9.340647566803094
2013,процентах,,,,,4.8129046417206185
2014,процентах,,,,,10.732563601750439
2015,процентах,,,,,14.270825578798481
2016,процентах,,,,,14.762882915066536
2017,процентах,,,,,9.752601732411042
2018,процентах,,,,,9.1
2010,процентах,,,,,2.623850160700432
2011,процентах,,,,,4.664584877461999
2012,процентах,,,,,4.155989005882119
2013,процентах,,,,,3.7638092691324183
2014,процентах,,,,,4.441081306752948
2015,процентах,,,,,7.641507731726241
2016,процентах,,,,,3.5852413366336635
2017,процентах,,,,,3.7068328228957648
2018,процентах,,,,,4.0
2010,процентах,,,,,3.2222132443756997
2011,процентах,,,,,11.973872273352658
2012,процентах,,,,,9.562578459213396
2013,процентах,,,,,10.061779184737892
2014,процентах,,,,,11.358145307157097
2015,процентах,,,,,7.856661109909267
2016,процентах,,,,,9.707747924308434
2017,процентах,,,,,6.884254372200507
2018,процентах,,,,,4.3
2010,процентах,,,,,3.9331285117218853
2011,процентах,,,,,16.898139117543792
2012,процентах,,,,,18.51908748751824
2013,процентах,,,,,9.464508094645081
2014,процентах,,,,,18.56288736558551
2015,процентах,,,,,13.291588664385772
2016,процентах,,,,,13.798856053384176
2017,процентах,,,,,7.060552341854824
2018,процентах,,,,,6.6
2010,процентах,,,,,1.8635417296218106
2011,процентах,,,,,7.987477890902937
2012,процентах,,,,,2.970646879180233
2013,процентах,,,,,1.9048284644892763
2014,процентах,,,,,7.849677562819657
2015,процентах,,,,,11.459035967907493
2016,процентах,,,,,12.28849737888233
2017,процентах,,,,,13.198160098077416
2010,процентах,,,,,1.0878052008204857
2011,процентах,,,,,2.616419399478647
2012,процентах,,,,,2.186356662339195
2013,процентах,,,,,2.1068472535741156
2014,процентах,,,,,1.9552965533105853
2015,процентах,,,,,12.691397000789268
2016,процентах,,,,,13.408627717391305
2017,процентах,,,,,11.2744140625
2018,процентах,,,,,10.0
2010,процентах,Северо-Казахстанская,,,,2.6889637056494875
2011,процентах,Северо-Казахстанская,,,,6.079942438414784
2012,процентах,Северо-Казахстанская,,,,5.557287954383464
2013,процентах,Северо-Казахстанская,,,,7.603972687771571
2014,процентах,Северо-Казахстанская,,,,6.09098298071476
2015,процентах,Северо-Казахстанская,,,,5.805026816699969
2016,процентах,Северо-Казахстанская,,,,7.792924375202856
2017,процентах,Северо-Казахстанская,,,,5.3217346808238455
2018,процентах,Северо-Казахстанская,,,,6.5
2010,процентах,,,,,6.817588310052868
2011,процентах,,,,,8.649688224191891
2012,процентах,,,,,8.183880933762355
2013,процентах,,,,,11.496458087367179
2014,процентах,,,,,7.044205275070442
2015,процентах,,,,,9.694745463709678
2016,процентах,,,,,8.341928829293451
2017,процентах,,,,,8.392722394566949
2018,процентах,,,,,11.2
2018,процентах,Туркестанская,,,,6.0
