Year,Units,Пол,Регионы,Местность,Образование,Брачное состояние,гражданство,GeoCode,Value
2018,на 1000 родившихся,мальчики и девочки,Алматинская,сельское население,,,,,4.19
2010,на 1000 родившихся,мальчики и девочки,Атырауская,сельское население,,,,,13.582342954159591
2011,на 1000 родившихся,мальчики и девочки,Атырауская,сельское население,,,,,12.18872870249017
2012,на 1000 родившихся,мальчики и девочки,Атырауская,сельское население,,,,,10.787055533359966
2013,на 1000 родившихся,мальчики и девочки,Атырауская,сельское население,,,,,5.115089514066496
2014,на 1000 родившихся,мальчики и девочки,Атырауская,сельское население,,,,,4.247057395947094
2015,на 1000 родившихся,мальчики и девочки,Атырауская,сельское население,,,,,4.58601883986118
2016,на 1000 родившихся,мальчики и девочки,Атырауская,сельское население,,,,,5.081804660386712
2017,на 1000 родившихся,мальчики и девочки,Атырауская,сельское население,,,,,4.5116449213510545
2018,на 1000 родившихся,мальчики и девочки,Атырауская,сельское население,,,,,6.68
2010,на 1000 родившихся,мальчики и девочки,Западно-Казахстанская,сельское население,,,,,10.249955044056824
2011,на 1000 родившихся,мальчики и девочки,Западно-Казахстанская,сельское население,,,,,10.080645161290322
2012,на 1000 родившихся,мальчики и девочки,Западно-Казахстанская,сельское население,,,,,8.441091954022989
2013,на 1000 родившихся,мальчики и девочки,Западно-Казахстанская,сельское население,,,,,5.242005940940067
2014,на 1000 родившихся,мальчики и девочки,Западно-Казахстанская,сельское население,,,,,4.383116883116883
2015,на 1000 родившихся,мальчики и девочки,Западно-Казахстанская,сельское население,,,,,3.4746351633078527
2016,на 1000 родившихся,мальчики и девочки,Западно-Казахстанская,сельское население,,,,,5.038220986796387
2017,на 1000 родившихся,мальчики и девочки,Западно-Казахстанская,сельское население,,,,,4.197846322321591
2018,на 1000 родившихся,мальчики и девочки,Западно-Казахстанская,сельское население,,,,,4.22
2010,на 1000 родившихся,мальчики и девочки,Жамбылская,сельское население,,,,,10.41608332866663
2011,на 1000 родившихся,мальчики и девочки,Жамбылская,сельское население,,,,,7.93201133144476
2012,на 1000 родившихся,мальчики и девочки,Жамбылская,сельское население,,,,,8.550053437833986
2013,на 1000 родившихся,мальчики и девочки,Жамбылская,сельское население,,,,,6.381656971819054
2014,на 1000 родившихся,мальчики и девочки,Жамбылская,сельское население,,,,,3.7459373106373595
2015,на 1000 родившихся,мальчики и девочки,Жамбылская,сельское население,,,,,3.807031110582357
2016,на 1000 родившихся,мальчики и девочки,Жамбылская,сельское население,,,,,2.914758194039617
2017,на 1000 родившихся,мальчики и девочки,Жамбылская,сельское население,,,,,2.948717948717949
2018,на 1000 родившихся,мальчики и девочки,Жамбылская,сельское население,,,,,2.81
2010,на 1000 родившихся,мальчики и девочки,Карагандинская,сельское население,,,,,8.247027234369007
2011,на 1000 родившихся,мальчики и девочки,Карагандинская,сельское население,,,,,6.924408540103866
2012,на 1000 родившихся,мальчики и девочки,Карагандинская,сельское население,,,,,5.499715531955244
2013,на 1000 родившихся,мальчики и девочки,Карагандинская,сельское население,,,,,6.506309148264984
2014,на 1000 родившихся,мальчики и девочки,Карагандинская,сельское население,,,,,7.02028081123245
2015,на 1000 родившихся,мальчики и девочки,Карагандинская,сельское население,,,,,4.054630815194195
2016,на 1000 родившихся,мальчики и девочки,Карагандинская,сельское население,,,,,4.2680324370465215
2017,на 1000 родившихся,мальчики и девочки,Карагандинская,сельское население,,,,,3.9404553415061296
2018,на 1000 родившихся,мальчики и девочки,Карагандинская,сельское население,,,,,3.55
2010,на 1000 родившихся,мальчики и девочки,Костанайская,сельское население,,,,,9.92
2011,на 1000 родившихся,мальчики и девочки,Костанайская,сельское население,,,,,6.625807520291534
2012,на 1000 родившихся,мальчики и девочки,Костанайская,сельское население,,,,,8.499065102838689
2013,на 1000 родившихся,мальчики и девочки,Костанайская,сельское население,,,,,6.414701803051318
2014,на 1000 родившихся,мальчики и девочки,Костанайская,сельское население,,,,,7.233592095977419
2015,на 1000 родившихся,мальчики и девочки,Костанайская,сельское население,,,,,5.5028462998102485
2016,на 1000 родившихся,мальчики и девочки,Костанайская,сельское население,,,,,5.5028462998102485
2017,на 1000 родившихся,мальчики и девочки,Костанайская,сельское население,,,,,7.673667205169628
2018,на 1000 родившихся,мальчики и девочки,Костанайская,сельское население,,,,,6.04
2010,на 1000 родившихся,мальчики и девочки,Кызылординская,сельское население,,,,,14.677901603696654
2011,на 1000 родившихся,мальчики и девочки,Кызылординская,сельское население,,,,,11.671721349140705
2012,на 1000 родившихся,мальчики и девочки,Кызылординская,сельское население,,,,,13.53965183752418
2013,на 1000 родившихся,мальчики и девочки,Кызылординская,сельское население,,,,,8.265239034469804
2014,на 1000 родившихся,мальчики и девочки,Кызылординская,сельское население,,,,,5.938242280285037
2015,на 1000 родившихся,мальчики и девочки,Кызылординская,сельское население,,,,,4.491914553803153
2016,на 1000 родившихся,мальчики и девочки,Кызылординская,сельское население,,,,,3.8929926132960673
2017,на 1000 родившихся,мальчики и девочки,Кызылординская,сельское население,,,,,3.922751961375981
2018,на 1000 родившихся,мальчики и девочки,Кызылординская,сельское население,,,,,3.53
2010,на 1000 родившихся,мальчики и девочки,Мангистауская,сельское население,,,,,12.573568753344036
2011,на 1000 родившихся,мальчики и девочки,Мангистауская,сельское население,,,,,11.216566005176878
2012,на 1000 родившихся,мальчики и девочки,Мангистауская,сельское население,,,,,10.110087620759382
2013,на 1000 родившихся,мальчики и девочки,Мангистауская,сельское население,,,,,6.583760058522311
2014,на 1000 родившихся,мальчики и девочки,Мангистауская,сельское население,,,,,4.144763445208248
2015,на 1000 родившихся,мальчики и девочки,Мангистауская,сельское население,,,,,4.714415231187671
2016,на 1000 родившихся,мальчики и девочки,Мангистауская,сельское население,,,,,5.530371713508613
2017,на 1000 родившихся,мальчики и девочки,Мангистауская,сельское население,,,,,6.1565523306948124
2018,на 1000 родившихся,мальчики и девочки,Мангистауская,сельское население,,,,,5.4
2010,на 1000 родившихся,мальчики и девочки,Южно-Казахстанская,сельское население,,,,,10.920404673109019
2011,на 1000 родившихся,мальчики и девочки,Южно-Казахстанская,сельское население,,,,,7.002801120448179
2012,на 1000 родившихся,мальчики и девочки,Южно-Казахстанская,сельское население,,,,,8.590815712477433
2013,на 1000 родившихся,мальчики и девочки,Южно-Казахстанская,сельское население,,,,,7.339073390733907
2014,на 1000 родившихся,мальчики и девочки,Южно-Казахстанская,сельское население,,,,,5.764011931728977
2015,на 1000 родившихся,мальчики и девочки,Южно-Казахстанская,сельское население,,,,,6.190788856580057
2016,на 1000 родившихся,мальчики и девочки,Южно-Казахстанская,сельское население,,,,,6.47218835006097
2017,на 1000 родившихся,мальчики и девочки,Южно-Казахстанская,сельское население,,,,,5.092824887104867
2018,на 1000 родившихся,мальчики и девочки,Южно-Казахстанская,сельское население,,,,,4.16
2010,на 1000 родившихся,мальчики и девочки,Павлодарская,сельское население,,,,,8.378511582060128
2011,на 1000 родившихся,мальчики и девочки,Павлодарская,сельское население,,,,,10.331063629960084
2012,на 1000 родившихся,мальчики и девочки,Павлодарская,сельское население,,,,,6.166748889985199
2013,на 1000 родившихся,мальчики и девочки,Павлодарская,сельское население,,,,,5.040806529044646
2014,на 1000 родившихся,мальчики и девочки,Павлодарская,сельское население,,,,,5.171140113272593
2015,на 1000 родившихся,мальчики и девочки,Павлодарская,сельское население,,,,,3.9380414807035966
2016,на 1000 родившихся,мальчики и девочки,Павлодарская,сельское население,,,,,4.725649776844316
2017,на 1000 родившихся,мальчики и девочки,Павлодарская,сельское население,,,,,3.2948929159802307
2018,на 1000 родившихся,мальчики и девочки,Павлодарская,сельское население,,,,,1.97
2010,на 1000 родившихся,мальчики и девочки,Северо-Казахстанская,сельское население,,,,,9.01803607214429
2011,на 1000 родившихся,мальчики и девочки,Северо-Казахстанская,сельское население,,,,,7.610037021801728
2012,на 1000 родившихся,мальчики и девочки,Северо-Казахстанская,сельское население,,,,,6.659729448491155
2013,на 1000 родившихся,мальчики и девочки,Северо-Казахстанская,сельское население,,,,,4.881154499151103
2014,на 1000 родившихся,мальчики и девочки,Северо-Казахстанская,сельское население,,,,,5.532503457814661
2015,на 1000 родившихся,мальчики и девочки,Северо-Казахстанская,сельское население,,,,,3.0643513789581203
2016,на 1000 родившихся,мальчики и девочки,Северо-Казахстанская,сельское население,,,,,6.3840653728294185
2017,на 1000 родившихся,мальчики и девочки,Северо-Казахстанская,сельское население,,,,,5.7441253263707575
2018,на 1000 родившихся,мальчики и девочки,Северо-Казахстанская,сельское население,,,,,5.24
2010,на 1000 родившихся,мальчики и девочки,Восточно-Казахстанская,сельское население,,,,,15.830375131919794
2011,на 1000 родившихся,мальчики и девочки,Восточно-Казахстанская,сельское население,,,,,13.628262920641575
2012,на 1000 родившихся,мальчики и девочки,Восточно-Казахстанская,сельское население,,,,,11.245963701146866
2013,на 1000 родившихся,мальчики и девочки,Восточно-Казахстанская,сельское население,,,,,9.483546617915906
2014,на 1000 родившихся,мальчики и девочки,Восточно-Казахстанская,сельское население,,,,,6.049939500604994
2015,на 1000 родившихся,мальчики и девочки,Восточно-Казахстанская,сельское население,,,,,4.478334543694022
2016,на 1000 родившихся,мальчики и девочки,Восточно-Казахстанская,сельское население,,,,,5.446623093681917
2017,на 1000 родившихся,мальчики и девочки,Восточно-Казахстанская,сельское население,,,,,5.372985130576033
2018,на 1000 родившихся,мальчики и девочки,Восточно-Казахстанская,сельское население,,,,,3.66
2010,на 1000 родившихся,мальчики,,,,,,,13.049889797406935
2011,на 1000 родившихся,мальчики,,,,,,,11.120370852648575
2012,на 1000 родившихся,мальчики,,,,,,,10.101061736094426
2013,на 1000 родившихся,мальчики,,,,,,,8.083516329603379
2014,на 1000 родившихся,мальчики,,,,,,,6.512568284764479
2015,на 1000 родившихся,мальчики,,,,,,,6.4055414022046735
2016,на 1000 родившихся,мальчики,,,,,,,5.872900208953638
2017,на 1000 родившихся,мальчики,,,,,,,5.149784888677412
2018,на 1000 родившихся,мальчики,,,,,,,5.32
2010,на 1000 родившихся,мальчики,Акмолинская,,,,,,11.886384686631676
2011,на 1000 родившихся,мальчики,Акмолинская,,,,,,10.747805025734179
2012,на 1000 родившихся,мальчики,Акмолинская,,,,,,6.472491909385114
2013,на 1000 родившихся,мальчики,Акмолинская,,,,,,9.8098400241473
2014,на 1000 родившихся,мальчики,Акмолинская,,,,,,7.0186145865120535
2015,на 1000 родившихся,мальчики,Акмолинская,,,,,,4.134129536058797
2016,на 1000 родившихся,мальчики,Акмолинская,,,,,,3.873566780291292
2017,на 1000 родившихся,мальчики,Акмолинская,,,,,,3.6163522012578615
2018,на 1000 родившихся,мальчики,Акмолинская,,,,,,3.45
2010,на 1000 родившихся,мальчики,Актюбинская,,,,,,14.568631914409288
2011,на 1000 родившихся,мальчики,Актюбинская,,,,,,9.18032786885246
2012,на 1000 родившихся,мальчики,Актюбинская,,,,,,9.094754653130288
2013,на 1000 родившихся,мальчики,Актюбинская,,,,,,8.558465663023304
2014,на 1000 родившихся,мальчики,Актюбинская,,,,,,6.3328137178487935
2015,на 1000 родившихся,мальчики,Актюбинская,,,,,,6.9297401347449465
2016,на 1000 родившихся,мальчики,Актюбинская,,,,,,6.380681260429959
2017,на 1000 родившихся,мальчики,Актюбинская,,,,,,3.9461701912374783
2018,на 1000 родившихся,мальчики,Актюбинская,,,,,,5.66
2010,на 1000 родившихся,мальчики,Алматинская,,,,,,9.531136470487668
2011,на 1000 родившихся,мальчики,Алматинская,,,,,,9.279267827634422
2012,на 1000 родившихся,мальчики,Алматинская,,,,,,9.143528227497693
2013,на 1000 родившихся,мальчики,Алматинская,,,,,,6.965975437890076
2014,на 1000 родившихся,мальчики,Алматинская,,,,,,5.491530667491686
2015,на 1000 родившихся,мальчики,Алматинская,,,,,,6.321313561006639
2016,на 1000 родившихся,мальчики,Алматинская,,,,,,5.096647538508004
2017,на 1000 родившихся,мальчики,Алматинская,,,,,,5.287941948432916
2018,на 1000 родившихся,мальчики,Алматинская,,,,,,4.8
2010,на 1000 родившихся,мальчики,Атырауская,,,,,,13.338564142801099
2011,на 1000 родившихся,мальчики,Атырауская,,,,,,13.309671694764864
2012,на 1000 родившихся,мальчики,Атырауская,,,,,,11.541839166980305
2013,на 1000 родившихся,мальчики,Атырауская,,,,,,5.827364331674152
2014,на 1000 родившихся,мальчики,Атырауская,,,,,,4.71253534401508
2015,на 1000 родившихся,мальчики,Атырауская,,,,,,5.4399243140964995
2016,на 1000 родившихся,мальчики,Атырауская,,,,,,4.753623188405797
2017,на 1000 родившихся,мальчики,Атырауская,,,,,,4.3611504007543616
2018,на 1000 родившихся,мальчики,Атырауская,,,,,,8.05
2010,на 1000 родившихся,мальчики,Западно-Казахстанская,,,,,,10.421755414427619
2011,на 1000 родившихся,мальчики,Западно-Казахстанская,,,,,,9.751340809361288
2012,на 1000 родившихся,мальчики,Западно-Казахстанская,,,,,,9.16860916860917
2013,на 1000 родившихся,мальчики,Западно-Казахстанская,,,,,,5.9790732436472345
2014,на 1000 родившихся,мальчики,Западно-Казахстанская,,,,,,6.096654275092938
2015,на 1000 родившихся,мальчики,Западно-Казахстанская,,,,,,5.0822122571001485
2016,на 1000 родившихся,мальчики,Западно-Казахстанская,,,,,,6.783085582335112
2017,на 1000 родившихся,мальчики,Западно-Казахстанская,,,,,,5.432322317790856
2018,на 1000 родившихся,мальчики,Западно-Казахстанская,,,,,,5.06
2010,на 1000 родившихся,мальчики,Жамбылская,,,,,,13.187259078920677
2011,на 1000 родившихся,мальчики,Жамбылская,,,,,,10.375261065822274
2012,на 1000 родившихся,мальчики,Жамбылская,,,,,,10.084265782566652
2013,на 1000 родившихся,мальчики,Жамбылская,,,,,,9.32525144874442
2014,на 1000 родившихся,мальчики,Жамбылская,,,,,,6.8189341277722635
2015,на 1000 родившихся,мальчики,Жамбылская,,,,,,7.024483393575666
2016,на 1000 родившихся,мальчики,Жамбылская,,,,,,5.569867019424912
2017,на 1000 родившихся,мальчики,Жамбылская,,,,,,4.985702764132268
2018,на 1000 родившихся,мальчики,Жамбылская,,,,,,4.15
2010,на 1000 родившихся,мальчики,Карагандинская,,,,,,10.510510510510512
2011,на 1000 родившихся,мальчики,Карагандинская,,,,,,7.678008567041137
2012,на 1000 родившихся,мальчики,Карагандинская,,,,,,7.5307173999207295
2013,на 1000 родившихся,мальчики,Карагандинская,,,,,,6.949928921181487
2014,на 1000 родившихся,мальчики,Карагандинская,,,,,,6.869096869877449
2015,на 1000 родившихся,мальчики,Карагандинская,,,,,,6.354754150448804
2016,на 1000 родившихся,мальчики,Карагандинская,,,,,,5.945593744909595
2017,на 1000 родившихся,мальчики,Карагандинская,,,,,,5.602965261615378
2018,на 1000 родившихся,мальчики,Карагандинская,,,,,,6.01
2010,на 1000 родившихся,мальчики,Костанайская,,,,,,12.271774917689314
2011,на 1000 родившихся,мальчики,Костанайская,,,,,,8.805808744013596
2012,на 1000 родившихся,мальчики,Костанайская,,,,,,11.897590361445785
2013,на 1000 родившихся,мальчики,Костанайская,,,,,,7.618763071407231
2014,на 1000 родившихся,мальчики,Костанайская,,,,,,7.507277462846638
2015,на 1000 родившихся,мальчики,Костанайская,,,,,,7.883565797453
2016,на 1000 родившихся,мальчики,Костанайская,,,,,,5.322479649342517
2017,на 1000 родившихся,мальчики,Костанайская,,,,,,9.156311314584695
2018,на 1000 родившихся,мальчики,Костанайская,,,,,,7.23
2010,на 1000 родившихся,мальчики,Кызылординская,,,,,,16.536118363794607
2011,на 1000 родившихся,мальчики,Кызылординская,,,,,,13.771186440677965
2012,на 1000 родившихся,мальчики,Кызылординская,,,,,,14.04041362299592
2013,на 1000 родившихся,мальчики,Кызылординская,,,,,,9.393346379647749
2014,на 1000 родившихся,мальчики,Кызылординская,,,,,,7.1804691239827685
2015,на 1000 родившихся,мальчики,Кызылординская,,,,,,6.560908734821777
2016,на 1000 родившихся,мальчики,Кызылординская,,,,,,6.7547432204231646
2017,на 1000 родившихся,мальчики,Кызылординская,,,,,,4.072075740608775
2018,на 1000 родившихся,мальчики,Кызылординская,,,,,,6.15
2010,на 1000 родившихся,мальчики,Мангистауская,,,,,,13.454075032341526
2011,на 1000 родившихся,мальчики,Мангистауская,,,,,,13.306161591944376
2012,на 1000 родившихся,мальчики,Мангистауская,,,,,,9.469915694652963
2013,на 1000 родившихся,мальчики,Мангистауская,,,,,,7.49024158666526
2014,на 1000 родившихся,мальчики,Мангистауская,,,,,,5.983772819472617
2015,на 1000 родившихся,мальчики,Мангистауская,,,,,,5.895872888977716
2016,на 1000 родившихся,мальчики,Мангистауская,,,,,,6.55192646195971
2017,на 1000 родившихся,мальчики,Мангистауская,,,,,,5.865394174371209
2018,на 1000 родившихся,мальчики,Мангистауская,,,,,,5.89
2010,на 1000 родившихся,мальчики,Южно-Казахстанская,,,,,,14.392602351537445
2011,на 1000 родившихся,мальчики,Южно-Казахстанская,,,,,,11.729918623689553
2012,на 1000 родившихся,мальчики,Южно-Казахстанская,,,,,,10.638812321678998
2013,на 1000 родившихся,мальчики,Южно-Казахстанская,,,,,,9.041328323839537
2014,на 1000 родившихся,мальчики,Южно-Казахстанская,,,,,,7.439347990902197
2015,на 1000 родившихся,мальчики,Южно-Казахстанская,,,,,,7.377614888502821
2016,на 1000 родившихся,мальчики,Южно-Казахстанская,,,,,,6.930928079753145
2017,на 1000 родившихся,мальчики,Южно-Казахстанская,,,,,,5.788996001668018
2018,на 1000 родившихся,мальчики,Южно-Казахстанская,,,,,,4.93
2010,на 1000 родившихся,мальчики,Павлодарская,,,,,,10.368479821343117
2011,на 1000 родившихся,мальчики,Павлодарская,,,,,,9.486523113988858
2012,на 1000 родившихся,мальчики,Павлодарская,,,,,,8.158332074331469
2013,на 1000 родившихся,мальчики,Павлодарская,,,,,,5.5523085914669785
2014,на 1000 родившихся,мальчики,Павлодарская,,,,,,4.179728317659353
2015,на 1000 родившихся,мальчики,Павлодарская,,,,,,4.917025199754149
2016,на 1000 родившихся,мальчики,Павлодарская,,,,,,4.422754308372731
2017,на 1000 родившихся,мальчики,Павлодарская,,,,,,5.28169014084507
2018,на 1000 родившихся,мальчики,Павлодарская,,,,,,3.64
2010,на 1000 родившихся,мальчики,Северо-Казахстанская,,,,,,9.41492938802959
2011,на 1000 родившихся,мальчики,Северо-Казахстанская,,,,,,8.678237650200266
2012,на 1000 родившихся,мальчики,Северо-Казахстанская,,,,,,8.292245629762439
2013,на 1000 родившихся,мальчики,Северо-Казахстанская,,,,,,6.503700381251402
2014,на 1000 родившихся,мальчики,Северо-Казахстанская,,,,,,6.162597771983884
2015,на 1000 родившихся,мальчики,Северо-Казахстанская,,,,,,3.2948929159802307
2016,на 1000 родившихся,мальчики,Северо-Казахстанская,,,,,,6.329113924050633
2017,на 1000 родившихся,мальчики,Северо-Казахстанская,,,,,,5.896542481908336
2018,на 1000 родившихся,мальчики,Северо-Казахстанская,,,,,,7.28
2010,на 1000 родившихся,мальчики,Восточно-Казахстанская,,,,,,17.68809167912307
2011,на 1000 родившихся,мальчики,Восточно-Казахстанская,,,,,,15.737372028090364
2012,на 1000 родившихся,мальчики,Восточно-Казахстанская,,,,,,13.942549974802619
2013,на 1000 родившихся,мальчики,Восточно-Казахстанская,,,,,,10.62473438164046
2014,на 1000 родившихся,мальчики,Восточно-Казахстанская,,,,,,8.42397971701971
2015,на 1000 родившихся,мальчики,Восточно-Казахстанская,,,,,,7.00076837701699
2016,на 1000 родившихся,мальчики,Восточно-Казахстанская,,,,,,7.2044902404289175
2017,на 1000 родившихся,мальчики,Восточно-Казахстанская,,,,,,5.3401033003589236
2018,на 1000 родившихся,мальчики,Восточно-Казахстанская,,,,,,5.9
2010,на 1000 родившихся,мальчики,г_Нур-Султан,,,,,,8.692744901370776
2011,на 1000 родившихся,мальчики,г_Нур-Султан,,,,,,7.539335664335664
2012,на 1000 родившихся,мальчики,г_Нур-Султан,,,,,,8.117045796171961
2013,на 1000 родившихся,мальчики,г_Нур-Султан,,,,,,5.708765150184437
2014,на 1000 родившихся,мальчики,г_Нур-Султан,,,,,,4.366106080206986
2015,на 1000 родившихся,мальчики,г_Нур-Султан,,,,,,5.108556832694764
2016,на 1000 родившихся,мальчики,г_Нур-Султан,,,,,,4.0556604433256425
2017,на 1000 родившихся,мальчики,г_Нур-Султан,,,,,,3.4644385571632363
2018,на 1000 родившихся,мальчики,г_Нур-Султан,,,,,,4.07
2010,на 1000 родившихся,мальчики,г_Алматы,,,,,,16.608787558508233
2011,на 1000 родившихся,мальчики,г_Алматы,,,,,,15.134230739980225
2012,на 1000 родившихся,мальчики,г_Алматы,,,,,,10.747259088286206
2013,на 1000 родившихся,мальчики,г_Алматы,,,,,,9.323843416370106
2014,на 1000 родившихся,мальчики,г_Алматы,,,,,,6.9489544096635925
2015,на 1000 родившихся,мальчики,г_Алматы,,,,,,6.788447296963713
2016,на 1000 родившихся,мальчики,г_Алматы,,,,,,5.629321422015542
2017,на 1000 родившихся,мальчики,г_Алматы,,,,,,4.643773677135525
2018,на 1000 родившихся,мальчики,г_Алматы,,,,,,6.13
2010,на 1000 родившихся,мальчики,,городское население,,,,,13.926846239953209
2011,на 1000 родившихся,мальчики,,городское население,,,,,12.40099836880687
2012,на 1000 родившихся,мальчики,,городское население,,,,,10.562647754137117
2013,на 1000 родившихся,мальчики,,городское население,,,,,8.490016369639406
2014,на 1000 родившихся,мальчики,,городское население,,,,,6.956763713520473
2015,на 1000 родившихся,мальчики,,городское население,,,,,6.919108241979929
2016,на 1000 родившихся,мальчики,,городское население,,,,,6.048353129475192
2017,на 1000 родившихся,мальчики,,городское население,,,,,4.742166044044146
2018,на 1000 родившихся,мальчики,,городское население,,,,,5.62
2010,на 1000 родившихся,мальчики,Акмолинская,городское население,,,,,12.135221034383127
2011,на 1000 родившихся,мальчики,Акмолинская,городское население,,,,,11.928429423459244
2012,на 1000 родившихся,мальчики,Акмолинская,городское население,,,,,8.016032064128256
2013,на 1000 родившихся,мальчики,Акмолинская,городское население,,,,,10.93210586881473
2014,на 1000 родившихся,мальчики,Акмолинская,городское население,,,,,7.778738115816767
2015,на 1000 родившихся,мальчики,Акмолинская,городское население,,,,,4.862700228832952
2016,на 1000 родившихся,мальчики,Акмолинская,городское население,,,,,4.319032536711776
2017,на 1000 родившихся,мальчики,Акмолинская,городское население,,,,,2.6354319180087846
2018,на 1000 родившихся,мальчики,Акмолинская,городское население,,,,,4.46
2010,на 1000 родившихся,мальчики,Актюбинская,городское население,,,,,15.498154981549812
2011,на 1000 родившихся,мальчики,Актюбинская,городское население,,,,,8.651399491094146
2012,на 1000 родившихся,мальчики,Актюбинская,городское население,,,,,10.962041884816749
2013,на 1000 родившихся,мальчики,Актюбинская,городское население,,,,,8.410028562361155
2014,на 1000 родившихся,мальчики,Актюбинская,городское население,,,,,7.252812314979278
2015,на 1000 родившихся,мальчики,Актюбинская,городское население,,,,,6.086074481959138
2016,на 1000 родившихся,мальчики,Актюбинская,городское население,,,,,7.204822820173504
2017,на 1000 родившихся,мальчики,Актюбинская,городское население,,,,,3.4023668639053253
2018,на 1000 родившихся,мальчики,Актюбинская,городское население,,,,,6.76
2010,на 1000 родившихся,мальчики,Алматинская,городское население,,,,,14.325163962720056
2011,на 1000 родившихся,мальчики,Алматинская,городское население,,,,,12.307692307692307
2012,на 1000 родившихся,мальчики,Алматинская,городское население,,,,,9.764309764309765
2013,на 1000 родившихся,мальчики,Алматинская,городское население,,,,,8.6011035378124
2014,на 1000 родившихся,мальчики,Алматинская,городское население,,,,,4.158324349299246
2015,на 1000 родившихся,мальчики,Алматинская,городское население,,,,,6.386861313868612
2016,на 1000 родившихся,мальчики,Алматинская,городское население,,,,,6.713457430576748
2017,на 1000 родившихся,мальчики,Алматинская,городское население,,,,,4.5822514128608525
2018,на 1000 родившихся,мальчики,Алматинская,городское население,,,,,4.39
2010,на 1000 родившихся,мальчики,Атырауская,городское население,,,,,11.191245958716737
2011,на 1000 родившихся,мальчики,Атырауская,городское население,,,,,13.853258081067214
2012,на 1000 родившихся,мальчики,Атырауская,городское население,,,,,13.116346854505709
2013,на 1000 родившихся,мальчики,Атырауская,городское население,,,,,6.399620763214033
2014,на 1000 родившихся,мальчики,Атырауская,городское население,,,,,5.421970768505422
2015,на 1000 родившихся,мальчики,Атырауская,городское население,,,,,5.813953488372092
2016,на 1000 родившихся,мальчики,Атырауская,городское население,,,,,4.239178937974119
2017,на 1000 родившихся,мальчики,Атырауская,городское население,,,,,3.720930232558141
2018,на 1000 родившихся,мальчики,Атырауская,городское население,,,,,6.05
2010,на 1000 родившихся,мальчики,Западно-Казахстанская,городское население,,,,,8.335906143871565
2011,на 1000 родившихся,мальчики,Западно-Казахстанская,городское население,,,,,8.035714285714285
2012,на 1000 родившихся,мальчики,Западно-Казахстанская,городское население,,,,,7.896221094190638
2013,на 1000 родившихся,мальчики,Западно-Казахстанская,городское население,,,,,6.202804746494068
2014,на 1000 родившихся,мальчики,Западно-Казахстанская,городское население,,,,,6.495340299350466
2015,на 1000 родившихся,мальчики,Западно-Казахстанская,городское население,,,,,5.8512120367790486
2016,на 1000 родившихся,мальчики,Западно-Казахстанская,городское население,,,,,6.6649577031530365
2017,на 1000 родившихся,мальчики,Западно-Казахстанская,городское население,,,,,4.993429697766096
2018,на 1000 родившихся,мальчики,Западно-Казахстанская,городское население,,,,,5.4
2010,на 1000 родившихся,мальчики,Жамбылская,городское население,,,,,13.395249151634221
2011,на 1000 родившихся,мальчики,Жамбылская,городское население,,,,,13.574660633484163
2012,на 1000 родившихся,мальчики,Жамбылская,городское население,,,,,8.771929824561402
2013,на 1000 родившихся,мальчики,Жамбылская,городское население,,,,,14.042995839112349
2014,на 1000 родившихся,мальчики,Жамбылская,городское население,,,,,11.285909712722294
2015,на 1000 родившихся,мальчики,Жамбылская,городское население,,,,,11.649501941583654
2016,на 1000 родившихся,мальчики,Жамбылская,городское население,,,,,8.832698302736404
2017,на 1000 родившихся,мальчики,Жамбылская,городское население,,,,,6.670272219217595
2018,на 1000 родившихся,мальчики,Жамбылская,городское население,,,,,5.24
2010,на 1000 родившихся,мальчики,Карагандинская,городское население,,,,,11.385606874328678
2011,на 1000 родившихся,мальчики,Карагандинская,городское население,,,,,7.714462044846739
2012,на 1000 родившихся,мальчики,Карагандинская,городское население,,,,,8.384685321749673
2013,на 1000 родившихся,мальчики,Карагандинская,городское население,,,,,6.252481143310837
2014,на 1000 родившихся,мальчики,Карагандинская,городское население,,,,,6.0855908912446015
2015,на 1000 родившихся,мальчики,Карагандинская,городское население,,,,,6.607267994794272
2016,на 1000 родившихся,мальчики,Карагандинская,городское население,,,,,6.1991869918699205
2017,на 1000 родившихся,мальчики,Карагандинская,городское население,,,,,5.845421086815327
2018,на 1000 родившихся,мальчики,Карагандинская,городское население,,,,,6.5
2010,на 1000 родившихся,мальчики,Костанайская,городское население,,,,,10.696733159872796
2011,на 1000 родившихся,мальчики,Костанайская,городское население,,,,,10.733971569480707
2012,на 1000 родившихся,мальчики,Костанайская,городское население,,,,,14.309301045679693
2013,на 1000 родившихся,мальчики,Костанайская,городское население,,,,,8.986928104575162
2014,на 1000 родившихся,мальчики,Костанайская,городское население,,,,,7.685973099094152
2015,на 1000 родившихся,мальчики,Костанайская,городское население,,,,,9.617953513224686
2016,на 1000 родившихся,мальчики,Костанайская,городское население,,,,,4.994450610432854
2017,на 1000 родившихся,мальчики,Костанайская,городское население,,,,,7.751937984496124
2018,на 1000 родившихся,мальчики,Костанайская,городское население,,,,,7.85
2010,на 1000 родившихся,мальчики,Кызылординская,городское население,,,,,17.69147788565264
2011,на 1000 родившихся,мальчики,Кызылординская,городское население,,,,,13.00062906269658
2012,на 1000 родившихся,мальчики,Кызылординская,городское население,,,,,13.18771893674016
