Year,Units,Регионы,Пол,Местность,Возраст,Value
2013,процент,Республика Казахстан,,,25-28,13.7
2014,процент,Республика Казахстан,,,25-28,16.7
2015,процент,Республика Казахстан,,,25-28,15.1
2016,процент,Республика Казахстан,,,25-28,12.4
2017,процент,Республика Казахстан,,,25-28,9.7
2018,процент,Республика Казахстан,,,25-28,8.8
2012,процент,Республика Казахстан,,,29-34,13.5
2013,процент,Республика Казахстан,,,29-34,13.5
2014,процент,Республика Казахстан,,,29-34,15.9
2015,процент,Республика Казахстан,,,29-34,14.0
2016,процент,Республика Казахстан,,,29-34,11.4
2017,процент,Республика Казахстан,,,29-34,10.4
2018,процент,Республика Казахстан,,,29-34,9.0
2012,процент,Республика Казахстан,,,35-44,12.7
2013,процент,Республика Казахстан,,,35-44,12.6
2014,процент,Республика Казахстан,,,35-44,16.0
2015,процент,Республика Казахстан,,,35-44,14.3
2016,процент,Республика Казахстан,,,35-44,12.1
2017,процент,Республика Казахстан,,,35-44,10.3
2018,процент,Республика Казахстан,,,35-44,8.9
2012,процент,Республика Казахстан,,,45-54,11.7
2013,процент,Республика Казахстан,,,45-54,11.1
2014,процент,Республика Казахстан,,,45-54,14.6
2015,процент,Республика Казахстан,,,45-54,13.4
2016,процент,Республика Казахстан,,,45-54,10.8
2017,процент,Республика Казахстан,,,45-54,8.3
2018,процент,Республика Казахстан,,,45-54,8.1
2012,процент,Республика Казахстан,,,55-64,12.2
2013,процент,Республика Казахстан,,,55-64,11.0
2014,процент,Республика Казахстан,,,55-64,15.8
2015,процент,Республика Казахстан,,,55-64,11.9
2016,процент,Республика Казахстан,,,55-64,12.1
2017,процент,Республика Казахстан,,,55-64,8.3
2018,процент,Республика Казахстан,,,55-64,7.6
2012,процент,Республика Казахстан,,,65 и старше,17.2
2013,процент,Республика Казахстан,,,65 и старше,27.0
2014,процент,Республика Казахстан,,,65 и старше,40.4
2015,процент,Республика Казахстан,,,65 и старше,18.2
2016,процент,Республика Казахстан,,,65 и старше,27.0
2017,процент,Республика Казахстан,,,65 и старше,12.5
2018,процент,Республика Казахстан,,,65 и старше,13.8
2012,процент,Акмолинская,,,,0.0
2013,процент,Акмолинская,,,,0.0
2014,процент,Акмолинская,,,,0.0
2015,процент,Акмолинская,,,,48.4
2016,процент,Акмолинская,,,,0.0
2017,процент,Акмолинская,,,,0.0
2018,процент,Акмолинская,,,,0.0
2012,процент,Акмолинская,,,16-24,11.2
2013,процент,Акмолинская,,,16-24,15.2
2014,процент,Акмолинская,,,16-24,20.1
2015,процент,Акмолинская,,,16-24,15.2
2016,процент,Акмолинская,,,16-24,12.8
2017,процент,Акмолинская,,,16-24,12.5
2018,процент,Акмолинская,,,16-24,13.0
2012,процент,Акмолинская,,,25-28,11.1
2013,процент,Акмолинская,,,25-28,14.8
2014,процент,Акмолинская,,,25-28,17.2
2015,процент,Акмолинская,,,25-28,14.8
2016,процент,Акмолинская,,,25-28,11.7
2017,процент,Акмолинская,,,25-28,11.3
2018,процент,Акмолинская,,,25-28,7.5
2012,процент,Акмолинская,,,29-34,12.2
2013,процент,Акмолинская,,,29-34,9.6
2014,процент,Акмолинская,,,29-34,14.5
2015,процент,Акмолинская,,,29-34,14.0
2016,процент,Акмолинская,,,29-34,10.5
2017,процент,Акмолинская,,,29-34,10.4
2018,процент,Акмолинская,,,29-34,10.2
2012,процент,Акмолинская,,,35-44,11.8
2013,процент,Акмолинская,,,35-44,8.5
2014,процент,Акмолинская,,,35-44,16.4
2015,процент,Акмолинская,,,35-44,14.6
2016,процент,Акмолинская,,,35-44,11.9
2017,процент,Акмолинская,,,35-44,10.7
2018,процент,Акмолинская,,,35-44,9.7
2012,процент,Акмолинская,,,45-54,11.0
2013,процент,Акмолинская,,,45-54,13.6
2014,процент,Акмолинская,,,45-54,14.0
2015,процент,Акмолинская,,,45-54,11.3
2016,процент,Акмолинская,,,45-54,10.6
2017,процент,Акмолинская,,,45-54,10.1
2018,процент,Акмолинская,,,45-54,8.5
2012,процент,Акмолинская,,,55-64,7.1
2013,процент,Акмолинская,,,55-64,8.9
2014,процент,Акмолинская,,,55-64,13.2
2015,процент,Акмолинская,,,55-64,10.0
2016,процент,Акмолинская,,,55-64,11.3
2017,процент,Акмолинская,,,55-64,8.6
2018,процент,Акмолинская,,,55-64,10.2
2012,процент,Акмолинская,,,65 и старше,0.0
2013,процент,Акмолинская,,,65 и старше,6.5
2014,процент,Акмолинская,,,65 и старше,3.4
2015,процент,Акмолинская,,,65 и старше,19.9
2016,процент,Акмолинская,,,65 и старше,15.9
2017,процент,Акмолинская,,,65 и старше,14.1
2018,процент,Акмолинская,,,65 и старше,14.4
2012,процент,Актюбинская,,,,0.0
2013,процент,Актюбинская,,,,0.0
2014,процент,Актюбинская,,,,0.0
2015,процент,Актюбинская,,,,0.0
2016,процент,Актюбинская,,,,0.0
2017,процент,Актюбинская,,,,0.0
2018,процент,Актюбинская,,,,0.0
2012,процент,Актюбинская,,,16-24,27.3
2013,процент,Актюбинская,,,16-24,18.4
2014,процент,Актюбинская,,,16-24,16.8
2015,процент,Актюбинская,,,16-24,14.4
2016,процент,Актюбинская,,,16-24,11.8
2017,процент,Актюбинская,,,16-24,2.0
2018,процент,Актюбинская,,,16-24,6.3
2012,процент,Актюбинская,,,25-28,13.1
2013,процент,Актюбинская,,,25-28,13.8
2014,процент,Актюбинская,,,25-28,14.5
2015,процент,Актюбинская,,,25-28,10.4
2016,процент,Актюбинская,,,25-28,7.4
2017,процент,Актюбинская,,,25-28,3.1
2018,процент,Актюбинская,,,25-28,3.2
2012,процент,Актюбинская,,,29-34,10.6
2013,процент,Актюбинская,,,29-34,11.7
2014,процент,Актюбинская,,,29-34,12.6
2015,процент,Актюбинская,,,29-34,14.0
2016,процент,Актюбинская,,,29-34,6.7
2017,процент,Актюбинская,,,29-34,1.7
2018,процент,Актюбинская,,,29-34,3.1
2012,процент,Актюбинская,,,35-44,8.8
2013,процент,Актюбинская,,,35-44,9.3
2014,процент,Актюбинская,,,35-44,12.7
2015,процент,Актюбинская,,,35-44,11.2
2016,процент,Актюбинская,,,35-44,8.1
2017,процент,Актюбинская,,,35-44,2.3
2018,процент,Актюбинская,,,35-44,4.1
2012,процент,Актюбинская,,,45-54,10.5
2013,процент,Актюбинская,,,45-54,11.3
2014,процент,Актюбинская,,,45-54,11.1
2015,процент,Актюбинская,,,45-54,8.8
2016,процент,Актюбинская,,,45-54,7.3
2017,процент,Актюбинская,,,45-54,2.7
2018,процент,Актюбинская,,,45-54,3.2
2012,процент,Актюбинская,,,55-64,23.8
2013,процент,Актюбинская,,,55-64,11.5
2014,процент,Актюбинская,,,55-64,8.0
2015,процент,Актюбинская,,,55-64,5.4
2016,процент,Актюбинская,,,55-64,8.0
2017,процент,Актюбинская,,,55-64,2.2
2018,процент,Актюбинская,,,55-64,3.7
2012,процент,Актюбинская,,,65 и старше,100.0
2013,процент,Актюбинская,,,65 и старше,22.0
2014,процент,Актюбинская,,,65 и старше,4.8
2015,процент,Актюбинская,,,65 и старше,2.2
2016,процент,Актюбинская,,,65 и старше,4.1
2017,процент,Актюбинская,,,65 и старше,0.0
2018,процент,Актюбинская,,,65 и старше,1.7
2012,процент,Алматинская,,,,0.0
2013,процент,Алматинская,,,,0.0
2014,процент,Алматинская,,,,19.5
2015,процент,Алматинская,,,,0.0
2016,процент,Алматинская,,,,0.0
2017,процент,Алматинская,,,,0.0
2018,процент,Алматинская,,,,0.0
2012,процент,Алматинская,,,16-24,25.1
2013,процент,Алматинская,,,16-24,21.2
2014,процент,Алматинская,,,16-24,17.8
2015,процент,Алматинская,,,16-24,19.5
2016,процент,Алматинская,,,16-24,16.4
2017,процент,Алматинская,,,16-24,12.9
2018,процент,Алматинская,,,16-24,13.0
2012,процент,Алматинская,,,25-28,18.8
2013,процент,Алматинская,,,25-28,24.6
2014,процент,Алматинская,,,25-28,18.6
2015,процент,Алматинская,,,25-28,18.0
2016,процент,Алматинская,,,25-28,15.0
2017,процент,Алматинская,,,25-28,13.5
2018,процент,Алматинская,,,25-28,11.1
2012,процент,Алматинская,,,29-34,21.2
2013,процент,Алматинская,,,29-34,20.4
2014,процент,Алматинская,,,29-34,21.3
2015,процент,Алматинская,,,29-34,19.5
2016,процент,Алматинская,,,29-34,14.0
2017,процент,Алматинская,,,29-34,13.7
2018,процент,Алматинская,,,29-34,13.2
2012,процент,Алматинская,,,35-44,17.5
2013,процент,Алматинская,,,35-44,16.5
2014,процент,Алматинская,,,35-44,19.6
2015,процент,Алматинская,,,35-44,20.7
2016,процент,Алматинская,,,35-44,15.6
2017,процент,Алматинская,,,35-44,15.2
2018,процент,Алматинская,,,35-44,11.0
2012,процент,Алматинская,,,45-54,18.2
2013,процент,Алматинская,,,45-54,10.7
2014,процент,Алматинская,,,45-54,17.1
2015,процент,Алматинская,,,45-54,19.0
2016,процент,Алматинская,,,45-54,14.8
2017,процент,Алматинская,,,45-54,13.4
2018,процент,Алматинская,,,45-54,11.2
2012,процент,Алматинская,,,55-64,18.4
2013,процент,Алматинская,,,55-64,8.1
2014,процент,Алматинская,,,55-64,15.6
2015,процент,Алматинская,,,55-64,19.0
2016,процент,Алматинская,,,55-64,10.4
2017,процент,Алматинская,,,55-64,11.6
2018,процент,Алматинская,,,55-64,17.0
2012,процент,Алматинская,,,65 и старше,32.4
2013,процент,Алматинская,,,65 и старше,11.6
2014,процент,Алматинская,,,65 и старше,16.2
2015,процент,Алматинская,,,65 и старше,14.2
2016,процент,Алматинская,,,65 и старше,8.8
2017,процент,Алматинская,,,65 и старше,14.3
2018,процент,Алматинская,,,65 и старше,24.5
2012,процент,Атырауская,,,,0.0
2013,процент,Атырауская,,,,0.0
2014,процент,Атырауская,,,,0.0
2015,процент,Атырауская,,,,0.0
2016,процент,Атырауская,,,,0.0
2017,процент,Атырауская,,,,0.0
2018,процент,Атырауская,,,,0.0
2012,процент,Атырауская,,,16-24,10.1
2013,процент,Атырауская,,,16-24,6.7
2014,процент,Атырауская,,,16-24,9.5
2015,процент,Атырауская,,,16-24,7.1
2016,процент,Атырауская,,,16-24,5.3
2017,процент,Атырауская,,,16-24,9.6
2018,процент,Атырауская,,,16-24,5.9
2012,процент,Атырауская,,,25-28,4.0
2013,процент,Атырауская,,,25-28,4.7
2014,процент,Атырауская,,,25-28,4.4
2015,процент,Атырауская,,,25-28,4.3
2016,процент,Атырауская,,,25-28,3.8
2017,процент,Атырауская,,,25-28,4.2
2018,процент,Атырауская,,,25-28,3.6
2012,процент,Атырауская,,,29-34,7.2
2013,процент,Атырауская,,,29-34,5.6
2014,процент,Атырауская,,,29-34,3.6
2015,процент,Атырауская,,,29-34,5.0
2016,процент,Атырауская,,,29-34,2.2
2017,процент,Атырауская,,,29-34,4.6
2018,процент,Атырауская,,,29-34,3.8
2012,процент,Атырауская,,,35-44,6.8
2013,процент,Атырауская,,,35-44,7.1
2014,процент,Атырауская,,,35-44,3.9
2015,процент,Атырауская,,,35-44,4.3
2016,процент,Атырауская,,,35-44,2.4
2017,процент,Атырауская,,,35-44,5.9
2018,процент,Атырауская,,,35-44,5.2
2012,процент,Атырауская,,,45-54,3.3
2013,процент,Атырауская,,,45-54,3.0
2014,процент,Атырауская,,,45-54,4.8
2015,процент,Атырауская,,,45-54,5.3
2016,процент,Атырауская,,,45-54,2.9
2017,процент,Атырауская,,,45-54,3.3
2018,процент,Атырауская,,,45-54,4.5
2012,процент,Атырауская,,,55-64,4.2
2013,процент,Атырауская,,,55-64,1.8
2014,процент,Атырауская,,,55-64,3.7
2015,процент,Атырауская,,,55-64,2.5
2016,процент,Атырауская,,,55-64,4.4
2017,процент,Атырауская,,,55-64,3.4
2018,процент,Атырауская,,,55-64,2.6
2012,процент,Атырауская,,,65 и старше,0.0
2013,процент,Атырауская,,,65 и старше,0.0
2014,процент,Атырауская,,,65 и старше,9.7
2015,процент,Атырауская,,,65 и старше,0.0
2016,процент,Атырауская,,,65 и старше,0.0
2017,процент,Атырауская,,,65 и старше,0.0
2018,процент,Атырауская,,,65 и старше,2.4
2012,процент,Западно-Казахстанская,,,,0.0
2013,процент,Западно-Казахстанская,,,,0.0
2014,процент,Западно-Казахстанская,,,,0.0
2015,процент,Западно-Казахстанская,,,,0.0
2016,процент,Западно-Казахстанская,,,,0.0
2017,процент,Западно-Казахстанская,,,,0.0
2018,процент,Западно-Казахстанская,,,,0.0
2012,процент,Западно-Казахстанская,,,16-24,2.5
2013,процент,Западно-Казахстанская,,,16-24,10.6
2014,процент,Западно-Казахстанская,,,16-24,13.9
2015,процент,Западно-Казахстанская,,,16-24,17.0
2016,процент,Западно-Казахстанская,,,16-24,13.6
2017,процент,Западно-Казахстанская,,,16-24,15.2
2018,процент,Западно-Казахстанская,,,16-24,14.9
2012,процент,Западно-Казахстанская,,,25-28,2.6
2013,процент,Западно-Казахстанская,,,25-28,9.1
2014,процент,Западно-Казахстанская,,,25-28,11.6
2015,процент,Западно-Казахстанская,,,25-28,13.3
2016,процент,Западно-Казахстанская,,,25-28,11.2
2017,процент,Западно-Казахстанская,,,25-28,12.7
2018,процент,Западно-Казахстанская,,,25-28,13.2
2012,процент,Западно-Казахстанская,,,29-34,3.7
2013,процент,Западно-Казахстанская,,,29-34,10.1
2014,процент,Западно-Казахстанская,,,29-34,12.1
2015,процент,Западно-Казахстанская,,,29-34,12.4
2016,процент,Западно-Казахстанская,,,29-34,10.9
2017,процент,Западно-Казахстанская,,,29-34,11.8
2018,процент,Западно-Казахстанская,,,29-34,10.3
2012,процент,Западно-Казахстанская,,,35-44,5.7
2013,процент,Западно-Казахстанская,,,35-44,9.2
2014,процент,Западно-Казахстанская,,,35-44,13.7
2015,процент,Западно-Казахстанская,,,35-44,11.3
2016,процент,Западно-Казахстанская,,,35-44,11.8
2017,процент,Западно-Казахстанская,,,35-44,12.2
2018,процент,Западно-Казахстанская,,,35-44,11.6
2012,процент,Западно-Казахстанская,,,45-54,4.8
2013,процент,Западно-Казахстанская,,,45-54,9.8
2014,процент,Западно-Казахстанская,,,45-54,11.7
2015,процент,Западно-Казахстанская,,,45-54,10.9
2016,процент,Западно-Казахстанская,,,45-54,9.1
2017,процент,Западно-Казахстанская,,,45-54,9.7
2018,процент,Западно-Казахстанская,,,45-54,11.5
2012,процент,Западно-Казахстанская,,,55-64,0.8
2013,процент,Западно-Казахстанская,,,55-64,3.3
2014,процент,Западно-Казахстанская,,,55-64,9.2
2015,процент,Западно-Казахстанская,,,55-64,10.9
2016,процент,Западно-Казахстанская,,,55-64,11.3
2017,процент,Западно-Казахстанская,,,55-64,8.9
2018,процент,Западно-Казахстанская,,,55-64,10.0
2012,процент,Западно-Казахстанская,,,65 и старше,0.0
2013,процент,Западно-Казахстанская,,,65 и старше,0.0
2014,процент,Западно-Казахстанская,,,65 и старше,0.0
2015,процент,Западно-Казахстанская,,,65 и старше,0.0
2016,процент,Западно-Казахстанская,,,65 и старше,0.0
2017,процент,Западно-Казахстанская,,,65 и старше,0.0
2018,процент,Западно-Казахстанская,,,65 и старше,0.0
2012,процент,Жамбылская,,,,0.0
2013,процент,Жамбылская,,,,0.0
2014,процент,Жамбылская,,,,0.0
2015,процент,Жамбылская,,,,83.5
2016,процент,Жамбылская,,,,0.0
2017,процент,Жамбылская,,,,0.0
2018,процент,Жамбылская,,,,0.0
2012,процент,Жамбылская,,,16-24,8.4
2013,процент,Жамбылская,,,16-24,35.5
2014,процент,Жамбылская,,,16-24,36.9
2015,процент,Жамбылская,,,16-24,28.1
2016,процент,Жамбылская,,,16-24,33.1
2017,процент,Жамбылская,,,16-24,15.1
2018,процент,Жамбылская,,,16-24,16.2
2012,процент,Жамбылская,,,25-28,13.1
2013,процент,Жамбылская,,,25-28,18.5
2014,процент,Жамбылская,,,25-28,29.9
2015,процент,Жамбылская,,,25-28,17.6
2016,процент,Жамбылская,,,25-28,15.7
2017,процент,Жамбылская,,,25-28,11.1
2018,процент,Жамбылская,,,25-28,13.4
2012,процент,Жамбылская,,,29-34,10.5
2013,процент,Жамбылская,,,29-34,21.0
2014,процент,Жамбылская,,,29-34,22.4
2015,процент,Жамбылская,,,29-34,17.4
2016,процент,Жамбылская,,,29-34,17.0
2017,процент,Жамбылская,,,29-34,9.9
2018,процент,Жамбылская,,,29-34,12.8
2012,процент,Жамбылская,,,35-44,12.4
2013,процент,Жамбылская,,,35-44,23.6
2014,процент,Жамбылская,,,35-44,24.2
2015,процент,Жамбылская,,,35-44,19.2
2016,процент,Жамбылская,,,35-44,17.8
2017,процент,Жамбылская,,,35-44,8.5
2018,процент,Жамбылская,,,35-44,14.2
2012,процент,Жамбылская,,,45-54,8.7
2013,процент,Жамбылская,,,45-54,21.7
2014,процент,Жамбылская,,,45-54,22.1
2015,процент,Жамбылская,,,45-54,17.0
2016,процент,Жамбылская,,,45-54,15.3
2017,процент,Жамбылская,,,45-54,8.7
2018,процент,Жамбылская,,,45-54,12.0
2012,процент,Жамбылская,,,55-64,5.9
2013,процент,Жамбылская,,,55-64,36.9
2014,процент,Жамбылская,,,55-64,41.0
2015,процент,Жамбылская,,,55-64,22.5
2016,процент,Жамбылская,,,55-64,32.6
2017,процент,Жамбылская,,,55-64,10.3
2018,процент,Жамбылская,,,55-64,11.1
2012,процент,Жамбылская,,,65 и старше,0.0
2013,процент,Жамбылская,,,65 и старше,97.2
2014,процент,Жамбылская,,,65 и старше,72.7
2015,процент,Жамбылская,,,65 и старше,67.1
2016,процент,Жамбылская,,,65 и старше,60.1
2017,процент,Жамбылская,,,65 и старше,16.6
2018,процент,Жамбылская,,,65 и старше,4.3
2012,процент,Карагандинская,,,,0.0
2013,процент,Карагандинская,,,,0.0
2014,процент,Карагандинская,,,,0.0
2015,процент,Карагандинская,,,,100.0
2016,процент,Карагандинская,,,,0.0
2017,процент,Карагандинская,,,,0.0
2018,процент,Карагандинская,,,,0.0
2012,процент,Карагандинская,,,16-24,32.0
2013,процент,Карагандинская,,,16-24,23.3
2014,процент,Карагандинская,,,16-24,27.9
2015,процент,Карагандинская,,,16-24,25.5
2016,процент,Карагандинская,,,16-24,24.9
2017,процент,Карагандинская,,,16-24,21.2
2018,процент,Карагандинская,,,16-24,19.0
2012,процент,Карагандинская,,,25-28,18.3
2013,процент,Карагандинская,,,25-28,15.5
2014,процент,Карагандинская,,,25-28,18.4
2015,процент,Карагандинская,,,25-28,19.7
2016,процент,Карагандинская,,,25-28,18.4
2017,процент,Карагандинская,,,25-28,14.6
2018,процент,Карагандинская,,,25-28,14.8
2012,процент,Карагандинская,,,29-34,18.3
2013,процент,Карагандинская,,,29-34,15.7
2014,процент,Карагандинская,,,29-34,18.6
2015,процент,Карагандинская,,,29-34,17.4
2016,процент,Карагандинская,,,29-34,14.9
2017,процент,Карагандинская,,,29-34,14.0
2018,процент,Карагандинская,,,29-34,16.5
2012,процент,Карагандинская,,,35-44,15.1
2013,процент,Карагандинская,,,35-44,14.8
2014,процент,Карагандинская,,,35-44,15.9
2015,процент,Карагандинская,,,35-44,17.1
2016,процент,Карагандинская,,,35-44,13.9
2017,процент,Карагандинская,,,35-44,12.9
2018,процент,Карагандинская,,,35-44,15.3
2012,процент,Карагандинская,,,45-54,13.4
2013,процент,Карагандинская,,,45-54,13.1
2014,процент,Карагандинская,,,45-54,14.7
2015,процент,Карагандинская,,,45-54,14.4
2016,процент,Карагандинская,,,45-54,10.3
2017,процент,Карагандинская,,,45-54,12.2
2018,процент,Карагандинская,,,45-54,14.3
2012,процент,Карагандинская,,,55-64,19.6
2013,процент,Карагандинская,,,55-64,12.9
2014,процент,Карагандинская,,,55-64,15.6
2015,процент,Карагандинская,,,55-64,13.2
2016,процент,Карагандинская,,,55-64,12.1
2017,процент,Карагандинская,,,55-64,12.9
2018,процент,Карагандинская,,,55-64,13.3
2012,процент,Карагандинская,,,65 и старше,27.5
2013,процент,Карагандинская,,,65 и старше,26.6
2014,процент,Карагандинская,,,65 и старше,22.2
2015,процент,Карагандинская,,,65 и старше,20.6
2016,процент,Карагандинская,,,65 и старше,38.0
2017,процент,Карагандинская,,,65 и старше,33.0
2018,процент,Карагандинская,,,65 и старше,27.8
2012,процент,Костанайская,,,,0.0
2013,процент,Костанайская,,,,0.0
2014,процент,Костанайская,,,,100.0
2015,процент,Костанайская,,,,0.0
2016,процент,Костанайская,,,,0.0
2017,процент,Костанайская,,,,0.0
2018,процент,Костанайская,,,,0.0
2012,процент,Костанайская,,,16-24,19.8
2013,процент,Костанайская,,,16-24,18.1
2014,процент,Костанайская,,,16-24,19.6
2015,процент,Костанайская,,,16-24,20.4
2016,процент,Костанайская,,,16-24,21.6
2017,процент,Костанайская,,,16-24,10.0
2018,процент,Костанайская,,,16-24,9.3
2012,процент,Костанайская,,,25-28,11.8
2013,процент,Костанайская,,,25-28,12.2
2014,процент,Костанайская,,,25-28,14.4
2015,процент,Костанайская,,,25-28,20.4
2016,процент,Костанайская,,,25-28,16.3
2017,процент,Костанайская,,,25-28,11.4
2018,процент,Костанайская,,,25-28,8.6
2012,процент,Костанайская,,,29-34,10.3
2013,процент,Костанайская,,,29-34,15.5
2014,процент,Костанайская,,,29-34,12.0
2015,процент,Костанайская,,,29-34,20.4
2016,процент,Костанайская,,,29-34,16.6
2017,процент,Костанайская,,,29-34,10.3
2018,процент,Костанайская,,,29-34,7.8
2012,процент,Костанайская,,,35-44,7.8
2013,процент,Костанайская,,,35-44,10.3
2014,процент,Костанайская,,,35-44,12.7
2015,процент,Костанайская,,,35-44,19.5
2016,процент,Костанайская,,,35-44,17.9
2017,процент,Костанайская,,,35-44,8.6
2018,процент,Костанайская,,,35-44,7.8
2012,процент,Костанайская,,,45-54,8.4
2013,процент,Костанайская,,,45-54,7.4
2014,процент,Костанайская,,,45-54,11.2
2015,процент,Костанайская,,,45-54,16.7
2016,процент,Костанайская,,,45-54,14.3
2017,процент,Костанайская,,,45-54,8.0
2018,процент,Костанайская,,,45-54,6.3
2012,процент,Костанайская,,,55-64,9.7
2013,процент,Костанайская,,,55-64,12.4
2014,процент,Костанайская,,,55-64,11.1
2015,процент,Костанайская,,,55-64,15.0
2016,процент,Костанайская,,,55-64,10.3
2017,процент,Костанайская,,,55-64,7.5
2018,процент,Костанайская,,,55-64,6.7
2012,процент,Костанайская,,,65 и старше,26.1
2013,процент,Костанайская,,,65 и старше,0.0
2014,процент,Костанайская,,,65 и старше,27.6
2015,процент,Костанайская,,,65 и старше,2.1
2016,процент,Костанайская,,,65 и старше,6.1
2017,процент,Костанайская,,,65 и старше,3.9
2018,процент,Костанайская,,,65 и старше,13.8
2012,процент,Кызылординская,,,,0.0
2013,процент,Кызылординская,,,,0.0
2014,процент,Кызылординская,,,,0.0
2015,процент,Кызылординская,,,,0.0
2016,процент,Кызылординская,,,,0.0
2017,процент,Кызылординская,,,,0.0
2018,процент,Кызылординская,,,,0.0
2012,процент,Кызылординская,,,16-24,17.6
2013,процент,Кызылординская,,,16-24,18.6
2014,процент,Кызылординская,,,16-24,22.6
2015,процент,Кызылординская,,,16-24,23.3
2016,процент,Кызылординская,,,16-24,12.6
2017,процент,Кызылординская,,,16-24,13.1
2018,процент,Кызылординская,,,16-24,12.1
2012,процент,Кызылординская,,,25-28,11.9
2013,процент,Кызылординская,,,25-28,8.9
2014,процент,Кызылординская,,,25-28,12.6
2015,процент,Кызылординская,,,25-28,17.9
2016,процент,Кызылординская,,,25-28,10.2
2017,процент,Кызылординская,,,25-28,9.4
2018,процент,Кызылординская,,,25-28,7.3
2012,процент,Кызылординская,,,29-34,15.7
2013,процент,Кызылординская,,,29-34,12.6
2014,процент,Кызылординская,,,29-34,12.7
2015,процент,Кызылординская,,,29-34,15.9
2016,процент,Кызылординская,,,29-34,11.3
2017,процент,Кызылординская,,,29-34,9.1
2018,процент,Кызылординская,,,29-34,7.2
2012,процент,Кызылординская,,,35-44,12.4
2013,процент,Кызылординская,,,35-44,8.9
2014,процент,Кызылординская,,,35-44,14.1
2015,процент,Кызылординская,,,35-44,18.8
2016,процент,Кызылординская,,,35-44,9.5
2017,процент,Кызылординская,,,35-44,7.2
2018,процент,Кызылординская,,,35-44,4.9
2012,процент,Кызылординская,,,45-54,10.5
2013,процент,Кызылординская,,,45-54,10.3
2014,процент,Кызылординская,,,45-54,11.0
2015,процент,Кызылординская,,,45-54,15.8
2016,процент,Кызылординская,,,45-54,9.3
2017,процент,Кызылординская,,,45-54,5.7
2018,процент,Кызылординская,,,45-54,3.9
2012,процент,Кызылординская,,,55-64,10.5
2013,процент,Кызылординская,,,55-64,8.6
2014,процент,Кызылординская,,,55-64,8.5
2015,процент,Кызылординская,,,55-64,11.6
2016,процент,Кызылординская,,,55-64,5.4
2017,процент,Кызылординская,,,55-64,4.3
2018,процент,Кызылординская,,,55-64,3.5
2012,процент,Кызылординская,,,65 и старше,0.0
2013,процент,Кызылординская,,,65 и старше,0.0
2014,процент,Кызылординская,,,65 и старше,0.0
2015,процент,Кызылординская,,,65 и старше,0.0
2016,процент,Кызылординская,,,65 и старше,0.0
2017,процент,Кызылординская,,,65 и старше,0.0
2018,процент,Кызылординская,,,65 и старше,0.0
2012,процент,Мангистауская,,,,0.0
2013,процент,Мангистауская,,,,0.0
2014,процент,Мангистауская,,,,0.0
2015,процент,Мангистауская,,,,0.0
2016,процент,Мангистауская,,,,0.0
2017,процент,Мангистауская,,,,0.0
2018,процент,Мангистауская,,,,0.0
2012,процент,Мангистауская,,,16-24,1.8
2013,процент,Мангистауская,,,16-24,8.6
2014,процент,Мангистауская,,,16-24,10.8
2015,процент,Мангистауская,,,16-24,9.4
2016,процент,Мангистауская,,,16-24,1.4
2017,процент,Мангистауская,,,16-24,4.6
2018,процент,Мангистауская,,,16-24,4.2
2012,процент,Мангистауская,,,25-28,2.1
2013,процент,Мангистауская,,,25-28,5.8
2014,процент,Мангистауская,,,25-28,5.6
2015,процент,Мангистауская,,,25-28,4.8
2016,процент,Мангистауская,,,25-28,2.4
2017,процент,Мангистауская,,,25-28,2.4
2018,процент,Мангистауская,,,25-28,3.0
2012,процент,Мангистауская,,,29-34,1.4
2013,процент,Мангистауская,,,29-34,7.5
2014,процент,Мангистауская,,,29-34,5.7
2015,процент,Мангистауская,,,29-34,3.8
2016,процент,Мангистауская,,,29-34,2.1
2017,процент,Мангистауская,,,29-34,2.3
2018,процент,Мангистауская,,,29-34,2.9
2012,процент,Мангистауская,,,35-44,3.2
2013,процент,Мангистауская,,,35-44,4.3
2014,процент,Мангистауская,,,35-44,7.3
2015,процент,Мангистауская,,,35-44,5.9
2016,процент,Мангистауская,,,35-44,3.0
2017,процент,Мангистауская,,,35-44,1.8
2018,процент,Мангистауская,,,35-44,2.9
2012,процент,Мангистауская,,,45-54,3.6
2013,процент,Мангистауская,,,45-54,4.5
2014,процент,Мангистауская,,,45-54,6.7
2015,процент,Мангистауская,,,45-54,4.5
2016,процент,Мангистауская,,,45-54,2.1
2017,процент,Мангистауская,,,45-54,2.2
2018,процент,Мангистауская,,,45-54,2.1
2012,процент,Мангистауская,,,55-64,2.3
2013,процент,Мангистауская,,,55-64,2.5
2014,процент,Мангистауская,,,55-64,4.0
2015,процент,Мангистауская,,,55-64,2.4
2016,процент,Мангистауская,,,55-64,3.5
2017,процент,Мангистауская,,,55-64,1.7
2018,процент,Мангистауская,,,55-64,1.8
2012,процент,Мангистауская,,,65 и старше,0.0
2013,процент,Мангистауская,,,65 и старше,0.0
2014,процент,Мангистауская,,,65 и старше,0.0
2015,процент,Мангистауская,,,65 и старше,7.7
2016,процент,Мангистауская,,,65 и старше,0.0
2017,процент,Мангистауская,,,65 и старше,0.0
2018,процент,Мангистауская,,,65 и старше,0.0
2012,процент,Южно-Казахстанская,,,,0.0
2013,процент,Южно-Казахстанская,,,,0.0
