Year,Units,Регионы,гражданство,Value
2016,процент,,,311.68665708097484
2017,процент,,,292.5019297002307
2010,процент,,,265.35626535626534
2011,процент,,,220.48166764315891
2012,процент,,,233.87735239215854
2013,процент,,,170.0141793202186
2014,процент,,,154.92503525334985
2015,процент,,,169.65061301587488
2016,процент,,,151.7484546205173
2017,процент,,,152.6376531030118
2010,процент,,,335.43847521869276
2011,процент,,,339.1259484830563
2012,процент,,,309.0616279212716
2013,процент,,,287.56757537218346
2014,процент,,,267.3998331840227
2015,процент,,,259.87631977405164
2016,процент,,,235.48997656433977
2017,процент,,,246.09291599504067
2010,процент,,,877.8283664459161
2011,процент,,,698.0696855651329
2012,процент,,,673.4594179635703
2013,процент,,,601.3451140709482
2014,процент,,,617.0431575587787
2015,процент,,,571.183778380694
2016,процент,,,499.2188482051466
2017,процент,,,464.21907534771356
2010,процент,Северо-Казахстанская,,781.9162421923617
2011,процент,Северо-Казахстанская,,858.3165093183649
2012,процент,Северо-Казахстанская,,838.9043365083121
2013,процент,Северо-Казахстанская,,851.9503599325163
2014,процент,Северо-Казахстанская,,749.0751028680969
2015,процент,Северо-Казахстанская,,632.6670402889346
2016,процент,Северо-Казахстанская,,635.0356611617528
2017,процент,Северо-Казахстанская,,641.276853468239
2010,процент,,,765.0742091339033
2011,процент,,,738.5630780208019
2012,процент,,,636.8853537136647
2013,процент,,,667.637903386402
2014,процент,,,562.2192866578599
2015,процент,,,515.9202830272538
2016,процент,,,516.8536086041348
2017,процент,,,488.9131325152946
2010,процент,Республика Казахстан,,502.84959536561854
2011,процент,Республика Казахстан,,482.59612150267395
2012,процент,Республика Казахстан,,431.535453028238
2013,процент,Республика Казахстан,,395.4256697428678
2014,процент,Республика Казахстан,,358.05422897303947
2015,процент,Республика Казахстан,,356.0809256780347
2016,процент,Республика Казахстан,,328.54800283297834
2017,процент,Республика Казахстан,,315.5373966069792
2010,процент,Акмолинская,,561.5319095239597
2011,процент,Акмолинская,,598.1893360283078
2012,процент,Акмолинская,,503.25597368803415
2013,процент,Акмолинская,,421.77752486933065
2014,процент,Акмолинская,,400.43511847519346
2015,процент,Акмолинская,,492.76013607077357
2016,процент,Акмолинская,,402.22375267429044
2017,процент,Акмолинская,,390.19047456060787
2010,процент,,,392.7159937965882
2011,процент,,,373.2106717545585
2012,процент,,,370.43720857638954
2013,процент,,,338.1394867499862
2014,процент,,,307.81917578394365
2015,процент,,,333.6547688816144
2016,процент,,,316.1625425736368
2017,процент,,,271.39727510766033
2010,процент,,,535.6424533694662
2011,процент,,,474.3718676496256
2012,процент,,,435.4367210147143
2013,процент,,,402.91868659103403
2014,процент,,,377.3130933111685
2015,процент,,,342.7003402575698
2016,процент,,,299.09189202200963
2017,процент,,,284.85807469919024
2010,процент,,,209.87374085058406
2011,процент,,,337.7873107242
2012,процент,,,320.4979330205769
2013,процент,,,291.16507976455125
2014,процент,,,299.3899417283276
2015,процент,,,262.110052789767
2016,процент,,,271.40729100165333
2017,процент,,,264.9151052925292
2010,процент,Западно-Казахстанская,,655.263300474556
2011,процент,Западно-Казахстанская,,525.1711792134778
2012,процент,Западно-Казахстанская,,520.95770753472
2013,процент,Западно-Казахстанская,,487.01804208782517
2014,процент,Западно-Казахстанская,,446.6750778133898
2015,процент,Западно-Казахстанская,,410.48696459549933
2016,процент,Западно-Казахстанская,,370.05632608563985
2017,процент,Западно-Казахстанская,,371.5308122385559
2010,процент,,,384.15748769627373
2011,процент,,,423.58305147147695
2012,процент,,,363.7676381257955
2013,процент,,,360.5439083177953
2014,процент,,,344.33244254985726
2015,процент,,,326.7027023183805
2016,процент,,,289.20921231981805
2017,процент,,,288.60003435714697
2010,процент,,,781.7896918333305
2011,процент,,,688.3822388153617
2012,процент,,,639.1672436539525
2013,процент,,,504.5956226746066
2014,процент,,,451.02194366022184
2015,процент,,,518.7711059881243
2016,процент,,,472.80155513821614
2017,процент,,,452.5736773847324
2010,процент,,,578.860337879428
2011,процент,,,602.8888783772743
2012,процент,,,530.6507306403975
2013,процент,,,468.41582070669034
2014,процент,,,453.16798186467764
2015,процент,,,446.07173246009853
2016,процент,,,427.5999043554874
2017,процент,,,388.10925134570545
2010,процент,,,374.33845359493995
2011,процент,,,317.4101141998667
2012,процент,,,298.03612508637224
2013,процент,,,253.4239482906146
2014,процент,,,238.54719138124446
2015,процент,,,233.85837347287588
2016,процент,,,261.1855848449926
2017,процент,,,233.4680429354681
2010,процент,,,210.20719872872857
2011,процент,,,196.9416555709268
2012,процент,,,186.87455866933902
2013,процент,,,146.4702727235219
2014,процент,,,110.50238645214117
2015,процент,,,141.28439775106207
2016,процент,,,136.76672177068988
2017,процент,,,129.64695666000085
2010,процент,,,302.6142508896299
2011,процент,,,312.4899867405372
2012,процент,,,288.5769744297463
2013,процент,,,272.13907472714595
2014,процент,,,254.75260004489286
2015,процент,,,252.7695891134631
2016,процент,,,226.5557885803918
2017,процент,,,233.34727201683611
2010,процент,,,732.3956507199822
2011,процент,,,577.6501979033625
2012,процент,,,504.47920980073326
2013,процент,,,486.2358999139272
2014,процент,,,474.2295963405826
2015,процент,,,471.0282616957017
2016,процент,,,463.2951712791997
2017,процент,,,445.9395534832597
2010,процент,Северо-Казахстанская,,548.2441979103437
2011,процент,Северо-Казахстанская,,799.3178460076416
2012,процент,Северо-Казахстанская,,805.8665773812455
2013,процент,Северо-Казахстанская,,768.3562793710385
2014,процент,Северо-Казахстанская,,686.6047180361041
2015,процент,Северо-Казахстанская,,614.8487994373933
2016,процент,Северо-Казахстанская,,543.3699745031491
2017,процент,Северо-Казахстанская,,480.26624567990785
2010,процент,,,654.8561917824265
2011,процент,,,648.4125284268799
2012,процент,,,481.27786723237205
2013,процент,,,571.4332607530117
2014,процент,,,480.3759844835274
2015,процент,,,461.73709433879685
2016,процент,,,378.891765583518
2017,процент,,,390.01694437572826
2010,процент,г.Нур-Султан,,278.8636955955173
2011,процент,г.Нур-Султан,,242.62029923170238
2012,процент,г.Нур-Султан,,222.40317573413407
2013,процент,г.Нур-Султан,,228.22292037933562
2014,процент,г.Нур-Султан,,215.87254476862685
2015,процент,г.Нур-Султан,,260.19974024810784
2016,процент,г.Нур-Султан,,244.84312252410237
2017,процент,г.Нур-Султан,,206.45196047589775
2010,процент,г.Алматы,,621.1466329981845
2011,процент,г.Алматы,,552.5764390976128
2012,процент,г.Алматы,,493.2472255628988
2013,процент,г.Алматы,,391.96743996342786
2014,процент,г.Алматы,,310.19503735388804
2015,процент,г.Алматы,,288.37942224940355
2016,процент,г.Алматы,,329.6298864430375
2017,процент,г.Алматы,,332.62938868728486
2010,процент,Республика Казахстан,,552.7685562789495
2011,процент,Республика Казахстан,,513.5453934774582
2012,процент,Республика Казахстан,,468.18174943457245
2013,процент,Республика Казахстан,,423.4866010890977
2014,процент,Республика Казахстан,,380.36655246867576
2015,процент,Республика Казахстан,,378.02877099705967
2016,процент,Республика Казахстан,,361.23393967389484
2017,процент,Республика Казахстан,,348.7412204480028
2010,процент,Акмолинская,,654.3893370132466
2011,процент,Акмолинская,,675.349204954757
2012,процент,Акмолинская,,547.580287109664
2013,процент,Акмолинская,,457.9313048591902
2014,процент,Акмолинская,,454.90034483506474
2015,процент,Акмолинская,,518.4195210277855
2016,процент,Акмолинская,,480.4170795811969
2017,процент,Акмолинская,,453.1108741196278
2010,процент,,,407.125088983627
2011,процент,,,379.67243946399185
2012,процент,,,391.6540118387207
2013,процент,,,349.74935904794705
2014,процент,,,329.53943388356777
2015,процент,,,357.1060420869719
2016,процент,,,340.4909858351417
2017,процент,,,273.73358481502675
2010,процент,,,647.2039042138222
2011,процент,,,565.1448021777488
2012,процент,,,531.6547221572422
2013,процент,,,507.895233501793
2014,процент,,,464.2149617936543
2015,процент,,,417.51693739286594
2016,процент,,,373.1947412732336
2017,процент,,,382.220427377099
2010,процент,,,213.47971942665447
2011,процент,,,328.4243063708371
2012,процент,,,334.27393097460384
2013,процент,,,294.7948271039098
2014,процент,,,309.3295494856332
2015,процент,,,294.17222821716507
2016,процент,,,274.3548322497096
2017,процент,,,279.5038154229944
2010,процент,Западно-Казахстанская,,712.39608182155
2011,процент,Западно-Казахстанская,,555.0234378468896
2012,процент,Западно-Казахстанская,,565.808554678301
2013,процент,Западно-Казахстанская,,506.6795114902231
2014,процент,Западно-Казахстанская,,496.03472844353325
2015,процент,Западно-Казахстанская,,440.5833441754291
2016,процент,Западно-Казахстанская,,402.046783625731
2017,процент,Западно-Казахстанская,,382.25085637803136
2010,процент,,,452.209108655551
2011,процент,,,474.07792068260056
2012,процент,,,464.9296810573473
2013,процент,,,469.6894611508488
2014,процент,,,467.35828212386934
2015,процент,,,391.2952767807341
2016,процент,,,355.2285063466928
2017,процент,,,379.38531054179634
2010,процент,,,813.4942461028569
2011,процент,,,709.688212659922
2012,процент,,,671.5157244264719
2013,процент,,,541.5919288362472
2014,процент,,,464.6149335586848
2015,процент,,,533.5344992747079
2016,процент,,,476.14665453293657
2017,процент,,,472.3041011398681
2010,процент,,,626.6268597137558
2011,процент,,,610.7148176958343
2012,процент,,,540.9598548684335
2013,процент,,,467.3011224987799
2014,процент,,,445.8496113415764
2015,процент,,,472.90256377622046
2016,процент,,,463.5657079733302
2017,процент,,,430.2645577422103
2010,процент,,,349.1096376826023
2011,процент,,,272.51331599157686
2012,процент,,,297.8240351011454
2013,процент,,,247.45686646055648
2014,процент,,,242.51139437958517
2015,процент,,,239.42632739025302
2016,процент,,,274.467023338401
2017,процент,,,230.3267332941854
2010,процент,,,263.01533899754804
2011,процент,,,226.9093549490676
2012,процент,,,229.91809167983908
2013,процент,,,183.27067669172934
2014,процент,,,140.7865745922469
2015,процент,,,194.68987092507413
2016,процент,,,189.9978643650905
2017,процент,,,178.09635601608755
2010,процент,,,320.3102113816124
2011,процент,,,336.0646881876958
2012,процент,,,308.28458986607495
2013,процент,,,298.80169022825385
2014,процент,,,282.30613639103586
2015,процент,,,270.1036013813518
2016,процент,,,250.05363688283592
2017,процент,,,258.23292787269366
2010,процент,,,705.0503218786835
2011,процент,,,565.990772438522
2012,процент,,,510.5461481372595
2013,процент,,,486.0107710495206
2014,процент,,,486.19064012758986
2015,процент,,,483.8439994983907
2016,процент,,,497.6920140214487
2017,процент,,,471.151940415796
2010,процент,Северо-Казахстанская,,561.9870145779738
2011,процент,Северо-Казахстанская,,842.1745083490778
2012,процент,Северо-Казахстанская,,833.8811012427963
2013,процент,Северо-Казахстанская,,838.6062728356893
2014,процент,Северо-Казахстанская,,678.4107098437394
2015,процент,Северо-Казахстанская,,674.7367560618559
2016,процент,Северо-Казахстанская,,588.5508130230644
2017,процент,Северо-Казахстанская,,528.8544295220898
2010,процент,,,702.6126186016977
2011,процент,,,671.9500250011987
2012,процент,,,523.5530649005659
2013,процент,,,590.7928562223171
2014,процент,,,514.3080545719267
2015,процент,,,456.923426858802
2016,процент,,,408.8392645327504
2017,процент,,,421.40285230160976
2010,процент,г.Нур-Султан,,278.8636955955173
2011,процент,г.Нур-Султан,,242.62029923170238
2012,процент,г.Нур-Султан,,222.40317573413407
2013,процент,г.Нур-Султан,,228.22292037933562
2014,процент,г.Нур-Султан,,215.87254476862685
2015,процент,г.Нур-Султан,,260.19974024810784
2016,процент,г.Нур-Султан,,244.84312252410237
2017,процент,г.Нур-Султан,,206.45196047589775
2010,процент,г.Алматы,,621.1466329981845
2011,процент,г.Алматы,,552.5764390976128
2012,процент,г.Алматы,,493.2472255628988
2013,процент,г.Алматы,,391.96743996342786
2014,процент,г.Алматы,,310.19503735388804
2015,процент,г.Алматы,,288.37942224940355
2016,процент,г.Алматы,,329.6298864430375
2017,процент,г.Алматы,,332.62938868728486
2010,процент,Республика Казахстан,,439.43627784638096
2011,процент,Республика Казахстан,,442.9916466787326
2012,процент,Республика Казахстан,,384.33838835313327
2013,процент,Республика Казахстан,,359.1125492618242
2014,процент,Республика Казахстан,,328.25101234462096
2015,процент,Республика Казахстан,,325.6970872427899
2016,процент,Республика Казахстан,,282.61069878872155
2017,процент,Республика Казахстан,,268.2266327475645
2010,процент,Акмолинская,,475.7931993426874
2011,процент,Акмолинская,,526.7997297420866
2012,процент,Акмолинская,,462.0186031331593
2013,процент,Акмолинская,,387.8896760100443
2014,процент,Акмолинская,,349.22253377517205
2015,процент,Акмолинская,,468.61211697045303
2016,процент,Акмолинская,,328.22812874289644
2017,процент,Акмолинская,,330.6140964624292
2010,процент,,,368.6537459761978
2011,процент,,,362.24900132270733
2012,процент,,,334.38651922064247
2013,процент,,,318.46100960571806
2014,процент,,,270.7349620201191
2015,процент,,,292.99306136257735
2016,процент,,,273.2466672186801
2017,процент,,,267.16947365057047
2010,процент,,,500.0111734340432
2011,процент,,,445.5775470518121
2012,процент,,,405.110668137684
2013,процент,,,370.07145528631327
2014,процент,,,347.88950582122686
2015,процент,,,317.8430067080604
2016,процент,,,274.68058381624667
2017,процент,,,253.75103856116513
2010,процент,,,206.43585587288203
2011,процент,,,346.8166672638028
2012,процент,,,307.0581010397623
2013,процент,,,287.71484867698894
2014,процент,,,290.15134030136176
2015,процент,,,231.74367587131718
2016,процент,,,268.57021697646474
2017,процент,,,250.835856922723
2010,процент,Западно-Казахстанская,,600.3001500750375
2011,процент,Западно-Казахстанская,,495.4311641368502
2012,процент,Западно-Казахстанская,,474.83078178179454
2013,процент,Западно-Казахстанская,,466.49568189194866
2014,процент,Западно-Казахстанская,,394.6684911373801
2015,процент,Западно-Казахстанская,,378.34287085812457
2016,процент,Западно-Казахстанская,,335.124040240225
2017,процент,Западно-Казахстанская,,359.42069840374927
2010,процент,,,335.1321013976202
2011,процент,,,387.7078483009554
2012,процент,,,292.5353270934167
2013,процент,,,283.1813293047603
2014,процент,,,256.53581184499444
2015,процент,,,280.4137552253379
2016,процент,,,241.98482067683065
2017,процент,,,224.6398029896915
2010,процент,,,661.5341130866657
2011,процент,,,606.2457569585879
2012,процент,,,513.0864332305341
2013,процент,,,358.7351670210577
2014,процент,,,396.4849155826183
2015,процент,,,458.5363130051228
2016,процент,,,458.9423144813952
2017,процент,,,369.7545101825529
2010,процент,,,527.9779595777948
2011,процент,,,594.4228100801217
2012,процент,,,519.2794375302761
2013,процент,,,469.66803424738896
2014,процент,,,461.55479347730767
2015,процент,,,414.5440949665841
2016,процент,,,384.3434607044399
2017,процент,,,336.1694100347778
2010,процент,,,393.5416729815202
2011,процент,,,351.7179879339806
2012,процент,,,298.1995038196065
2013,процент,,,258.05889359064986
2014,процент,,,235.44019675732466
2015,процент,,,229.42506551623006
2016,процент,,,250.3925646140135
2017,процент,,,236.05381839342616
2010,процент,,,147.93396765625525
2011,процент,,,162.9824200515847
2012,процент,,,140.02368485733226
2013,процент,,,107.83456908460433
2014,процент,,,83.3401731202687
2015,процент,,,100.31919744642043
2016,процент,,,97.26775956284153
2017,процент,,,95.20795352596379
2010,процент,,,290.6263219189171
2011,процент,,,296.60935794224866
2012,процент,,,275.3398296194133
2013,процент,,,254.23334060648259
2014,процент,,,233.99499465154298
2015,процент,,,238.1157187653954
2016,процент,,,206.50796576763085
2017,процент,,,211.77914314542573
2010,процент,,,795.7515104153537
2011,процент,,,604.9990692322012
2012,процент,,,490.03286805822347
2013,процент,,,486.78419810301153
2014,процент,,,444.3860110439127
2015,процент,,,438.44109831709477
2016,процент,,,374.67249689263264
2017,процент,,,380.55216134690215
2010,процент,Северо-Казахстанская,,538.2227482859504
2011,процент,Северо-Казахстанская,,767.5792645967518
2012,процент,Северо-Казахстанская,,784.7785187017785
2013,процент,Северо-Казахстанская,,714.2564654542051
2014,процент,Северо-Казахстанская,,693.0828779327895
2015,процент,Северо-Казахстанская,,565.7191277683964
2016,процент,Северо-Казахстанская,,504.9431938906873
2017,процент,Северо-Казахстанская,,437.86475412455815
2010,процент,,,584.9425125344824
2011,процент,,,613.4719802604375
2012,процент,,,417.6001863613629
2013,процент,,,541.7905745749626
2014,процент,,,427.57752683284974
2015,процент,,,469.37230738757347
2016,процент,,,330.33907382844654
2017,процент,,,337.78636114135077
2010,процент,,,100.0
2011,процент,,,100.0
2012,процент,,,100.0
2013,процент,,,100.0
2014,процент,,,100.0
2015,процент,,,100.0
2016,процент,,,100.0
2017,процент,,,100.0
2010,процент,,,12.719729695051537
2011,процент,,,12.473127811883602
2012,процент,,,12.236375513251213
2013,процент,,,11.984343616418602
2014,процент,,,12.65429507095474
2015,процент,,,13.068499273661862
2016,процент,,,13.362430753735103
2017,процент,,,14.118775616987877
2010,процент,,,0.7527479577434669
2011,процент,,,0.9662906407216152
2012,процент,,,1.0918253079507279
2013,процент,,,1.174228768604831
2014,процент,,,1.4330898200240714
2015,процент,,,0.7654486534808358
2016,процент,,,0.7330311678137765
2017,процент,,,0.6627714310630505
2010,процент,,,24.960437962448143
2011,процент,,,25.89924868686421
2012,процент,,,27.30496453900709
2013,процент,,,27.146315084719575
2014,процент,,,26.240658325636073
2015,процент,,,25.863224941334227
2016,процент,,,27.066196631414023
2017,процент,,,27.01374960030232
2010,процент,,,40.960609041529445
2011,процент,,,39.71764810177079
2012,процент,,,37.691302724897355
2013,процент,,,35.70067466652933
2014,процент,,,34.87558429199205
2015,процент,,,36.00402279584311
2016,процент,,,36.03323820715125
2017,процент,,,36.513473445539375
2010,процент,,,8.601000812625637
2011,процент,,,8.42179916225261
2012,процент,,,8.216685330347143
2013,процент,,,9.14147396611217
2014,процент,,,8.99039941780726
2015,процент,,,8.799865906805229
2016,процент,,,8.345923563314868
2017,процент,,,7.8689572977529725
2010,процент,,,9.678799024849237
2011,процент,,,9.804747235211986
2012,процент,,,8.296005972377753
2013,процент,,,8.634186537570171
2014,процент,,,7.865199988803987
2015,процент,,,7.964577047714829
2016,процент,,,6.681215376867551
2017,процент,,,5.342867939885468
2010,процент,,,2.3266755057525343
2011,процент,,,2.717138361295184
2012,процент,,,5.162840612168719
2013,процент,,,6.218777360045321
2014,процент,,,7.940773084781817
2015,процент,,,7.534361381159906
2016,процент,,,7.77796429970343
2017,процент,,,8.47940466846894
2010,процент,,,100.0
2011,процент,,,100.0
2012,процент,,,100.0
2013,процент,,,100.0
2014,процент,,,100.0
2015,процент,,,100.0
2016,процент,,,100.0
2017,процент,,,100.0
2010,процент,,,8.931847043883167
2011,процент,,,8.92546403712297
2012,процент,,,9.550471924492081
2013,процент,,,9.128213957759412
2014,процент,,,9.595075923264387
2015,процент,,,9.596976549673181
2016,процент,,,10.924870809593216
2017,процент,,,12.03391561957299
2010,процент,,,0.6702412868632708
2011,процент,,,0.9184068058778037
2012,процент,,,0.8425318615688157
2013,процент,,,1.3888888888888888
2014,процент,,,1.8152846341311004
2015,процент,,,0.7062978222483813
2016,процент,,,0.6558897575195441
2017,процент,,,0.48353594170327235
2010,процент,,,20.30478340623677
2011,процент,,,20.84058391337974
2012,процент,,,22.100463925771876
2013,процент,,,22.012741046831955
2014,процент,,,21.28038492782603
2015,процент,,,21.455345249527586
2016,процент,,,22.568570292831588
2017,процент,,,23.468519086048968
2010,процент,,,36.22360190019284
2011,процент,,,35.066221964423825
2012,процент,,,33.8052578254146
2013,процент,,,30.670339761248854
2014,процент,,,30.650503030681747
2015,процент,,,32.31622316532945
2016,процент,,,33.80151053398702
2017,процент,,,34.831613716075864
2010,процент,,,11.036639857015192
2011,процент,,,10.711523588553751
2012,процент,,,10.76094491548019
2013,процент,,,11.257460973370065
2014,процент,,,10.613634943448105
2015,процент,,,11.021963384033953
2016,процент,,,10.18285411421757
2017,процент,,,9.554942622671707
2010,процент,,,21.614693570387093
2011,процент,,,22.061098221191028
2012,процент,,,18.186423505572442
2013,процент,,,18.793044077134986
2014,процент,,,17.524839092670124
2015,процент,,,17.301198847619343
2016,процент,,,14.30038425864582
2017,процент,,,11.4958967548609
2010,процент,,,100.0
2011,процент,,,100.0
2012,процент,,,100.0
2013,процент,,,100.0
2014,процент,,,100.0
2015,процент,,,100.0
2016,процент,,,100.0
2017,процент,,,100.0
2010,процент,,,14.057755059697833
2011,процент,,,13.988598388047965
2012,процент,,,14.20609337631278
2013,процент,,,14.090751645306545
2014,процент,,,14.682391580204524
2015,процент,,,14.830087078856089
2016,процент,,,15.827547701121523
2017,процент,,,16.84118236472946
2010,процент,,,0.9148009129147254
2011,процент,,,1.2620404953803814
2012,процент,,,1.2498700218363314
2013,процент,,,1.1546010853250201
2014,процент,,,1.2888457614888906
2015,процент,,,0.8562349916316978
2016,процент,,,0.8059426130018934
2017,процент,,,0.7139278557114228
2010,процент,,,27.585491446139915
2011,процент,,,28.488303518773346
2012,процент,,,29.339710928564
2013,процент,,,28.61794250086595
2014,процент,,,27.802244283546067
2015,процент,,,27.440754845125763
2016,процент,,,28.902267320483567
2017,процент,,,29.213426853707414
2010,процент,,,32.82343399287021
2011,процент,,,32.042461175545505
2012,процент,,,31.12405115940522
2013,процент,,,29.897240503406074
2014,процент,,,29.26277027195143
2015,процент,,,31.518179833604194
2016,процент,,,31.97553041705103
2017,процент,,,31.713426853707418
2010,процент,,,9.444140558688723
2011,процент,,,9.565559268724199
2012,процент,,,8.998648227097847
2013,процент,,,10.118923911788476
2014,процент,,,9.534472891940982
2015,процент,,,8.901933199117083
2016,процент,,,7.823954944894887
2017,процент,,,7.124248496993987
2010,процент,,,12.752513344776203
2011,процент,,,11.877334381757422
2012,процент,,,10.034314235208484
2013,процент,,,10.32675210714698
2014,процент,,,10.149038341917345
2015,процент,,,9.699953913697335
2016,процент,,,7.457396708258485
2017,процент,,,6.452905811623247
2010,процент,,,2.4218646849123866
2011,процент,,,2.7757027717711815
2012,процент,,,5.047312051575335
2013,процент,,,5.793788246160951
2014,процент,,,7.28023686895076
2015,процент,,,6.752856137967838
2016,процент,,,7.20736029518862
2017,процент,,,7.940881763527054
2010,процент,,,100.0
2011,процент,,,100.0
2012,процент,,,100.0
2013,процент,,,100.0
2014,процент,,,100.0
2015,процент,,,100.0
2016,процент,,,100.0
2017,процент,,,100.0
2010,процент,,,6.322552182424794
2011,процент,,,6.18912622449266
2012,процент,,,6.1824376645501005
2013,процент,,,5.704974158080126
2014,процент,,,6.139713891511146
2015,процент,,,6.189944134078212
2016,процент,,,6.282341526520052
2017,процент,,,6.994297215699429
2010,процент,,,0.4191137949099732
2011,процент,,,0.4883936340415977
2012,процент,,,0.5668266997057457
2013,процент,,,1.4484642986470027
2014,процент,,,2.087720572216978
2015,процент,,,0.5549348230912476
2016,процент,,,0.517464424320828
2017,процент,,,0.3564240187856424
2010,процент,,,15.66437808476025
2011,процент,,,16.327504420804445
2012,процент,,,18.228279386712096
2013,процент,,,19.159232313921716
2014,процент,,,18.197661752959117
2015,процент,,,18.141527001862197
2016,процент,,,18.51956662354463
2017,процент,,,18.965951023146594
2010,процент,,,47.30195494526705
2011,процент,,,45.27465124764925
2012,процент,,,42.9580300449125
2013,процент,,,38.2032458768147
2014,процент,,,38.15627042335342
2015,процент,,,38.45810055865922
2016,процент,,,40.067108667529105
2017,процент,,,42.477356591747736
2010,процент,,,10.224170733724874
2011,процент,,,9.447890644735734
2012,процент,,,10.007743534148986
2013,процент,,,10.175461697995193
2014,процент,,,10.082782659211386
2015,процент,,,11.314711359404097
2016,процент,,,11.45698576972833
2017,процент,,,11.191714189869172
2010,процент,,,19.179970772327458
2011,процент,,,21.079518342829875
2012,процент,,,17.196840638067215
2013,процент,,,17.875366231030053
2014,процент,,,15.757751797255102
2015,процент,,,16.52513966480447
2016,процент,,,14.6870957309185
2017,процент,,,11.061724253606172
2010,процент,,,0.8878594865856012
2011,процент,,,1.192915485446431
2012,процент,,,4.85984203190336
2013,процент,,,7.433255423511209
2014,процент,,,9.578098903492847
2015,процент,,,8.815642458100559
2016,процент,,,8.469437257438551
2017,процент,,,8.952532707145252
2010,процент,,,100.0
2011,процент,,,100.0
2012,процент,,,100.0
2013,процент,,,100.0
2014,процент,,,100.0
2015,процент,,,100.0
2016,процент,,,100.0
2017,процент,,,100.0
2010,процент,,,63.54304777383345
2011,процент,,,62.146229028611955
2012,процент,,,62.23170959313177
2013,процент,,,60.7663387753
2014,процент,,,58.748285610322725
2015,процент,,,60.593362386858864
2016,процент,,,61.66414862067035
2017,процент,,,60.669747972442664
2010,процент,,,9.270347718232754
2011,процент,,,9.966534429644733
2012,процент,,,9.642123926838373
2013,процент,,,11.219549878972035
2014,процент,,,12.094494360007838
2015,процент,,,8.995418482512013
2016,процент,,,8.242403894577807
2017,процент,,,8.424173715880352
2010,процент,,,17.02878405542962
2011,процент,,,17.30236475255424
2012,процент,,,16.358715938783128
2013,процент,,,17.02889220785909
2014,процент,,,17.020740616340582
2015,процент,,,17.65560397809811
2016,процент,,,17.09753231492362
2017,процент,,,16.697189035202463
2010,процент,,,7.920961464436936
2011,процент,,,8.080494669887635
2012,процент,,,7.803751399776036
2013,процент,,,7.192151207704589
2014,процент,,,7.389369384499118
2015,процент,,,7.755056430886133
2016,процент,,,7.551340160035812
2017,процент,,,8.049184616726258
2010,процент,,,2.236858988067234
2011,процент,,,2.504377119301434
2012,процент,,,3.963699141470698
2013,процент,,,3.7930679301642893
2014,процент,,,4.747110028829737
2015,процент,,,5.000558721644877
2016,процент,,,5.444575009792401
2017,процент,,,6.159704659748263
2010,процент,,,100.0
2011,процент,,,100.0
2012,процент,,,100.0
2013,процент,,,100.0
2014,процент,,,100.0
2015,процент,,,100.0
2016,процент,,,100.0
2017,процент,,,100.0
2010,процент,,,31.42843704435351
2011,процент,,,30.585363495746325
2012,процент,,,32.53879379299312
2013,процент,,,30.696166207529846
2014,процент,,,29.07267387364869
2015,процент,,,29.085220408289707
2016,процент,,,30.07486418444415
2017,процент,,,29.652330847549973
2010,процент,,,6.95875076431024
2011,процент,,,7.0451469450889395
2012,процент,,,7.3294939476350445
2013,процент,,,7.908631772268136
2014,процент,,,8.357807911016685
2015,процент,,,6.700535918961618
2016,процент,,,6.373393401351531
2017,процент,,,6.537950761058331
2010,процент,,,53.440571939231454
2011,процент,,,54.02407192575406
2012,процент,,,50.061323521569875
2013,процент,,,51.49219467401286
2014,процент,,,51.86215084671624
2015,процент,,,52.944456491434586
2016,процент,,,51.83516629124155
2017,процент,,,51.11519733033677
2010,процент,,,7.28093692676732
2011,процент,,,7.163573085846868
2012,процент,,,7.04420626033168
2013,процент,,,6.763659320477503
2014,процент,,,6.867462350809224
2015,процент,,,6.777980855611659
2016,процент,,,6.906717901152776
2017,процент,,,7.198556202540267
2010,процент,,,0.8913033253374723
2011,процент,,,1.181844547563805
2012,процент,,,3.0261824774702717
2013,процент,,,3.139348025711662
2014,процент,,,3.8399050178091607
2015,процент,,,4.491806325702425
2016,процент,,,4.809858221809991
2017,процент,,,5.495964858514659
2010,процент,,,100.0
2011,процент,,,100.0
2012,процент,,,100.0
2013,процент,,,100.0
2014,процент,,,100.0
2015,процент,,,100.0
2016,процент,,,100.0
2017,процент,,,100.0
2010,процент,,,44.28202274742064
2011,процент,,,44.360133674071164
2012,процент,,,44.747842362483105
2013,процент,,,43.092021706500404
2014,процент,,,42.07409619068946
2015,процент,,,42.75838649428773
2016,процент,,,44.16419866970918
2017,процент,,,43.08366733466934
2010,процент,,,8.010638097214102
2011,процент,,,8.470611362296049
2012,процент,,,8.850993033170427
2013,процент,,,10.095831890081977
2014,процент,,,10.116692791918588
2015,процент,,,8.399835059548353
2016,процент,,,7.726853425256105
2017,процент,,,8.076152304609218
2010,процент,,,35.78286210083558
2011,процент,,,34.914487910359746
2012,процент,,,32.85640012477904
2013,процент,,,33.9545087172382
2014,процент,,,34.102162175611454
2015,процент,,,34.78788172799379
2016,процент,,,33.6286837889013
2017,процент,,,33.366733466933866
2010,процент,,,9.679913989852311
2011,процент,,,9.695301749557697
2012,процент,,,9.558074243527088
2013,процент,,,9.349959588962014
2014,процент,,,9.3354233534871
2015,процент,,,9.316709923108641
