Year,Units,Пол,Регионы,Местность,GeoCode,Value
2011,на 1000 родившихся,мальчики и девочки,Алматинская,сельское население,KZ01,14.79
2012,на 1000 родившихся,мальчики и девочки,Алматинская,сельское население,KZ01,14.75
2013,на 1000 родившихся,мальчики и девочки,Алматинская,сельское население,KZ01,12.08
2014,на 1000 родившихся,мальчики и девочки,Алматинская,сельское население,KZ01,11.6
2015,на 1000 родившихся,мальчики и девочки,Алматинская,сельское население,KZ01,10.61
2016,на 1000 родившихся,мальчики и девочки,Алматинская,сельское население,KZ01,9.27
2017,на 1000 родившихся,мальчики и девочки,Алматинская,сельское население,KZ01,10.76885893063351
2018,на 1000 родившихся,мальчики и девочки,Алматинская,сельское население,KZ01,9.71
2010,на 1000 родившихся,мальчики и девочки,Атырауская,сельское население,KZ06,22.07
2011,на 1000 родившихся,мальчики и девочки,Атырауская,сельское население,KZ06,20.97
2012,на 1000 родившихся,мальчики и девочки,Атырауская,сельское население,KZ06,18.51
2013,на 1000 родившихся,мальчики и девочки,Атырауская,сельское население,KZ06,12.53
2014,на 1000 родившихся,мальчики и девочки,Атырауская,сельское население,KZ06,12.62
2015,на 1000 родившихся,мальчики и девочки,Атырауская,сельское население,KZ06,10.34
2016,на 1000 родившихся,мальчики и девочки,Атырауская,сельское население,KZ06,11.03
2017,на 1000 родившихся,мальчики и девочки,Атырауская,сельское население,KZ06,9.63297158883063
2018,на 1000 родившихся,мальчики и девочки,Атырауская,сельское население,KZ06,14.52
2010,на 1000 родившихся,мальчики и девочки,Западно-Казахстанская,сельское население,KZ07,19.6
2011,на 1000 родившихся,мальчики и девочки,Западно-Казахстанская,сельское население,KZ07,16.86
2012,на 1000 родившихся,мальчики и девочки,Западно-Казахстанская,сельское население,KZ07,15.8
2013,на 1000 родившихся,мальчики и девочки,Западно-Казахстанская,сельское население,KZ07,10.31
2014,на 1000 родившихся,мальчики и девочки,Западно-Казахстанская,сельское население,KZ07,11.04
2015,на 1000 родившихся,мальчики и девочки,Западно-Казахстанская,сельское население,KZ07,10.02
2016,на 1000 родившихся,мальчики и девочки,Западно-Казахстанская,сельское население,KZ07,9.73
2017,на 1000 родившихся,мальчики и девочки,Западно-Казахстанская,сельское население,KZ07,8.578207702135426
2018,на 1000 родившихся,мальчики и девочки,Западно-Казахстанская,сельское население,KZ07,7.89
2010,на 1000 родившихся,мальчики и девочки,Жамбылская,сельское население,KZ17,19.82
2011,на 1000 родившихся,мальчики и девочки,Жамбылская,сельское население,KZ17,17.79
2012,на 1000 родившихся,мальчики и девочки,Жамбылская,сельское население,KZ17,18.05
2013,на 1000 родившихся,мальчики и девочки,Жамбылская,сельское население,KZ17,13.67
2014,на 1000 родившихся,мальчики и девочки,Жамбылская,сельское население,KZ17,10.58
2015,на 1000 родившихся,мальчики и девочки,Жамбылская,сельское население,KZ17,11.01
2016,на 1000 родившихся,мальчики и девочки,Жамбылская,сельское население,KZ17,10.47
2017,на 1000 родившихся,мальчики и девочки,Жамбылская,сельское население,KZ17,10.384615384615383
2018,на 1000 родившихся,мальчики и девочки,Жамбылская,сельское население,KZ17,9.84
2010,на 1000 родившихся,мальчики и девочки,Карагандинская,сельское население,KZ12,18.03
2011,на 1000 родившихся,мальчики и девочки,Карагандинская,сельское население,KZ12,17.12
2012,на 1000 родившихся,мальчики и девочки,Карагандинская,сельское население,KZ12,14.98
2013,на 1000 родившихся,мальчики и девочки,Карагандинская,сельское население,KZ12,14.2
2014,на 1000 родившихся,мальчики и девочки,Карагандинская,сельское население,KZ12,14.24
2015,на 1000 родившихся,мальчики и девочки,Карагандинская,сельское население,KZ12,12.87
2016,на 1000 родившихся,мальчики и девочки,Карагандинская,сельское население,KZ12,11.1
2017,на 1000 родившихся,мальчики и девочки,Карагандинская,сельское население,KZ12,8.318739054290718
2018,на 1000 родившихся,мальчики и девочки,Карагандинская,сельское население,KZ12,9.31
2010,на 1000 родившихся,мальчики и девочки,Костанайская,сельское население,KZ13,18.08
2011,на 1000 родившихся,мальчики и девочки,Костанайская,сельское население,KZ13,17.89
2012,на 1000 родившихся,мальчики и девочки,Костанайская,сельское население,KZ13,19.04
2013,на 1000 родившихся,мальчики и девочки,Костанайская,сельское население,KZ13,15.43
2014,на 1000 родившихся,мальчики и девочки,Костанайская,сельское население,KZ13,14.82
2015,на 1000 родившихся,мальчики и девочки,Костанайская,сельское население,KZ13,11.4
2016,на 1000 родившихся,мальчики и девочки,Костанайская,сельское население,KZ13,12.33
2017,на 1000 родившихся,мальчики и девочки,Костанайская,сельское население,KZ13,14.539579967689825
2018,на 1000 родившихся,мальчики и девочки,Костанайская,сельское население,KZ13,12.28
2010,на 1000 родившихся,мальчики и девочки,Кызылординская,сельское население,KZ14,27.45
2011,на 1000 родившихся,мальчики и девочки,Кызылординская,сельское население,KZ14,25.37
2012,на 1000 родившихся,мальчики и девочки,Кызылординская,сельское население,KZ14,26.8
2013,на 1000 родившихся,мальчики и девочки,Кызылординская,сельское население,KZ14,21.6
2014,на 1000 родившихся,мальчики и девочки,Кызылординская,сельское население,KZ14,16.99
2015,на 1000 родившихся,мальчики и девочки,Кызылординская,сельское население,KZ14,13.88
2016,на 1000 родившихся,мальчики и девочки,Кызылординская,сельское население,KZ14,11.48
2017,на 1000 родившихся,мальчики и девочки,Кызылординская,сельское население,KZ14,11.868839267752964
2018,на 1000 родившихся,мальчики и девочки,Кызылординская,сельское население,KZ14,11.6
2010,на 1000 родившихся,мальчики и девочки,Мангистауская,сельское население,KZ09,21.27
2011,на 1000 родившихся,мальчики и девочки,Мангистауская,сельское население,KZ09,20.46
2012,на 1000 родившихся,мальчики и девочки,Мангистауская,сельское население,KZ09,16.96
2013,на 1000 родившихся,мальчики и девочки,Мангистауская,сельское население,KZ09,12.75
2014,на 1000 родившихся,мальчики и девочки,Мангистауская,сельское население,KZ09,11.02
2015,на 1000 родившихся,мальчики и девочки,Мангистауская,сельское население,KZ09,13.81
2016,на 1000 родившихся,мальчики и девочки,Мангистауская,сельское население,KZ09,12.15
2017,на 1000 родившихся,мальчики и девочки,Мангистауская,сельское население,KZ09,12.703996872862305
2018,на 1000 родившихся,мальчики и девочки,Мангистауская,сельское население,KZ09,12.87
2010,на 1000 родившихся,мальчики и девочки,Южно-Казахстанская,сельское население,KZ10,22.05
2011,на 1000 родившихся,мальчики и девочки,Южно-Казахстанская,сельское население,KZ10,18.12
2012,на 1000 родившихся,мальчики и девочки,Южно-Казахстанская,сельское население,KZ10,17.85
2013,на 1000 родившихся,мальчики и девочки,Южно-Казахстанская,сельское население,KZ10,17.28
2014,на 1000 родившихся,мальчики и девочки,Южно-Казахстанская,сельское население,KZ10,14.44
2015,на 1000 родившихся,мальчики и девочки,Южно-Казахстанская,сельское население,KZ10,15.05
2016,на 1000 родившихся,мальчики и девочки,Южно-Казахстанская,сельское население,KZ10,14.73
2017,на 1000 родившихся,мальчики и девочки,Южно-Казахстанская,сельское население,KZ10,13.045659809332664
2018,на 1000 родившихся,мальчики и девочки,Южно-Казахстанская,сельское население,KZ10,12.08
2010,на 1000 родившихся,мальчики и девочки,Павлодарская,сельское население,KZ11,16.76
2011,на 1000 родившихся,мальчики и девочки,Павлодарская,сельское население,KZ11,18.31
2012,на 1000 родившихся,мальчики и девочки,Павлодарская,сельское население,KZ11,12.58
2013,на 1000 родившихся,мальчики и девочки,Павлодарская,сельское население,KZ11,11.52
2014,на 1000 родившихся,мальчики и девочки,Павлодарская,сельское население,KZ11,12.31
2015,на 1000 родившихся,мальчики и девочки,Павлодарская,сельское население,KZ11,9.68
2016,на 1000 родившихся,мальчики и девочки,Павлодарская,сельское население,KZ11,10.24
2017,на 1000 родившихся,мальчики и девочки,Павлодарская,сельское население,KZ11,9.335529928610654
2018,на 1000 родившихся,мальчики и девочки,Павлодарская,сельское население,KZ11,5.36
2010,на 1000 родившихся,мальчики и девочки,Северо-Казахстанская,сельское население,KZ16,18.04
2011,на 1000 родившихся,мальчики и девочки,Северо-Казахстанская,сельское население,KZ16,15.63
2012,на 1000 родившихся,мальчики и девочки,Северо-Казахстанская,сельское население,KZ16,13.11
2013,на 1000 родившихся,мальчики и девочки,Северо-Казахстанская,сельское население,KZ16,14.01
2014,на 1000 родившихся,мальчики и девочки,Северо-Казахстанская,сельское население,KZ16,12.45
2015,на 1000 родившихся,мальчики и девочки,Северо-Казахстанская,сельское население,KZ16,10.58
2016,на 1000 родившихся,мальчики и девочки,Северо-Казахстанская,сельское население,KZ16,10.47
2017,на 1000 родившихся,мальчики и девочки,Северо-Казахстанская,сельское население,KZ16,11.488250652741511
2018,на 1000 родившихся,мальчики и девочки,Северо-Казахстанская,сельское население,KZ16,14.06
2010,на 1000 родившихся,мальчики и девочки,Восточно-Казахстанская,сельское население,KZ15,23.51
2011,на 1000 родившихся,мальчики и девочки,Восточно-Казахстанская,сельское население,KZ15,23.17
2012,на 1000 родившихся,мальчики и девочки,Восточно-Казахстанская,сельское население,KZ15,18.59
2013,на 1000 родившихся,мальчики и девочки,Восточно-Казахстанская,сельское население,KZ15,17.48
2014,на 1000 родившихся,мальчики и девочки,Восточно-Казахстанская,сельское население,KZ15,13.42
2015,на 1000 родившихся,мальчики и девочки,Восточно-Казахстанская,сельское население,KZ15,12.84
2016,на 1000 родившихся,мальчики и девочки,Восточно-Казахстанская,сельское население,KZ15,13.44
2017,на 1000 родившихся,мальчики и девочки,Восточно-Казахстанская,сельское население,KZ15,11.370735974009746
2018,на 1000 родившихся,мальчики и девочки,Восточно-Казахстанская,сельское население,KZ15,10.97
2010,на 1000 родившихся,мальчики,Республика Казахстан,,,21.76
2011,на 1000 родившихся,мальчики,Республика Казахстан,,,20.04
2012,на 1000 родившихся,мальчики,Республика Казахстан,,,18.2
2013,на 1000 родившихся,мальчики,Республика Казахстан,,,15.88
2014,на 1000 родившихся,мальчики,Республика Казахстан,,,13.56
2015,на 1000 родившихся,мальчики,Республика Казахстан,,,13.35
2016,на 1000 родившихся,мальчики,Республика Казахстан,,,12.04
2017,на 1000 родившихся,мальчики,Республика Казахстан,,,11.246257856024108
2018,на 1000 родившихся,мальчики,Республика Казахстан,,,11.64
2010,на 1000 родившихся,мальчики,Акмолинская,,KZ03,19.91
2011,на 1000 родившихся,мальчики,Акмолинская,,KZ03,20.89
2012,на 1000 родившихся,мальчики,Акмолинская,,KZ03,15.0
2013,на 1000 родившихся,мальчики,Акмолинская,,KZ03,17.36
2014,на 1000 родившихся,мальчики,Акмолинская,,KZ03,13.58
2015,на 1000 родившихся,мальчики,Акмолинская,,KZ03,10.41
2016,на 1000 родившихся,мальчики,Акмолинская,,KZ03,10.23
2017,на 1000 родившихся,мальчики,Акмолинская,,KZ03,10.534591194968552
2018,на 1000 родившихся,мальчики,Акмолинская,,KZ03,8.15
2010,на 1000 родившихся,мальчики,Актюбинская,,KZ04,22.31
2011,на 1000 родившихся,мальчики,Актюбинская,,KZ04,16.72
2012,на 1000 родившихся,мальчики,Актюбинская,,KZ04,16.81
2013,на 1000 родившихся,мальчики,Актюбинская,,KZ04,15.36
2014,на 1000 родившихся,мальчики,Актюбинская,,KZ04,12.08
2015,на 1000 родившихся,мальчики,Актюбинская,,KZ04,13.76
2016,на 1000 родившихся,мальчики,Актюбинская,,KZ04,12.27
2017,на 1000 родившихся,мальчики,Актюбинская,,KZ04,8.802995041991299
2018,на 1000 родившихся,мальчики,Актюбинская,,KZ04,12.42
2010,на 1000 родившихся,мальчики,Алматинская,,KZ01,17.44
2011,на 1000 родившихся,мальчики,Алматинская,,KZ01,17.29
2012,на 1000 родившихся,мальчики,Алматинская,,KZ01,17.49
2013,на 1000 родившихся,мальчики,Алматинская,,KZ01,14.37
2014,на 1000 родившихся,мальчики,Алматинская,,KZ01,12.26
2015,на 1000 родившихся,мальчики,Алматинская,,KZ01,12.56
2016,на 1000 родившихся,мальчики,Алматинская,,KZ01,10.57
2017,на 1000 родившихся,мальчики,Алматинская,,KZ01,11.61803303998765
2018,на 1000 родившихся,мальчики,Алматинская,,KZ01,10.58
2010,на 1000 родившихся,мальчики,Атырауская,,KZ06,20.66
2011,на 1000 родившихся,мальчики,Атырауская,,KZ06,21.68
2012,на 1000 родившихся,мальчики,Атырауская,,KZ06,19.82
2013,на 1000 родившихся,мальчики,Атырауская,,KZ06,12.63
2014,на 1000 родившихся,мальчики,Атырауская,,KZ06,12.49
2015,на 1000 родившихся,мальчики,Атырауская,,KZ06,9.22
2016,на 1000 родившихся,мальчики,Атырауская,,KZ06,10.78
2017,на 1000 родившихся,мальчики,Атырауская,,KZ06,9.665252239509664
2018,на 1000 родившихся,мальчики,Атырауская,,KZ06,14.74
2010,на 1000 родившихся,мальчики,Западно-Казахстанская,,KZ07,17.91
2011,на 1000 родившихся,мальчики,Западно-Казахстанская,,KZ07,15.11
2012,на 1000 родившихся,мальчики,Западно-Казахстанская,,KZ07,15.23
2013,на 1000 родившихся,мальчики,Западно-Казахстанская,,KZ07,11.66
2014,на 1000 родившихся,мальчики,Западно-Казахстанская,,KZ07,12.04
2015,на 1000 родившихся,мальчики,Западно-Казахстанская,,KZ07,10.76
2016,на 1000 родившихся,мальчики,Западно-Казахстанская,,KZ07,11.11
2017,на 1000 родившихся,мальчики,Западно-Казахстанская,,KZ07,8.902972687490568
2018,на 1000 родившихся,мальчики,Западно-Казахстанская,,KZ07,9.52
2010,на 1000 родившихся,мальчики,Жамбылская,,KZ17,23.26
2011,на 1000 родившихся,мальчики,Жамбылская,,KZ17,20.35
2012,на 1000 родившихся,мальчики,Жамбылская,,KZ17,19.62
2013,на 1000 родившихся,мальчики,Жамбылская,,KZ17,17.25
2014,на 1000 родившихся,мальчики,Жамбылская,,KZ17,14.04
2015,на 1000 родившихся,мальчики,Жамбылская,,KZ17,15.28
2016,на 1000 родившихся,мальчики,Жамбылская,,KZ17,12.74
2017,на 1000 родившихся,мальчики,Жамбылская,,KZ17,12.537576068626732
2018,на 1000 родившихся,мальчики,Жамбылская,,KZ17,10.66
2010,на 1000 родившихся,мальчики,Карагандинская,,KZ12,19.52
2011,на 1000 родившихся,мальчики,Карагандинская,,KZ12,16.0
2012,на 1000 родившихся,мальчики,Карагандинская,,KZ12,16.17
2013,на 1000 родившихся,мальчики,Карагандинская,,KZ12,12.64
2014,на 1000 родившихся,мальчики,Карагандинская,,KZ12,12.8
2015,на 1000 родившихся,мальчики,Карагандинская,,KZ12,12.87
2016,на 1000 родившихся,мальчики,Карагандинская,,KZ12,11.24
2017,на 1000 родившихся,мальчики,Карагандинская,,KZ12,11.205930523230755
2018,на 1000 родившихся,мальчики,Карагандинская,,KZ12,10.93
2010,на 1000 родившихся,мальчики,Костанайская,,KZ13,19.6
2011,на 1000 родившихся,мальчики,Костанайская,,KZ13,18.69
2012,на 1000 родившихся,мальчики,Костанайская,,KZ13,20.03
2013,на 1000 родившихся,мальчики,Костанайская,,KZ13,17.03
2014,на 1000 родившихся,мальчики,Костанайская,,KZ13,15.01
2015,на 1000 родившихся,мальчики,Костанайская,,KZ13,13.95
2016,на 1000 родившихся,мальчики,Костанайская,,KZ13,11.74
2017,на 1000 родившихся,мальчики,Костанайская,,KZ13,14.224983649444082
2018,на 1000 родившихся,мальчики,Костанайская,,KZ13,13.96
2010,на 1000 родившихся,мальчики,Кызылординская,,KZ14,28.04
2011,на 1000 родившихся,мальчики,Кызылординская,,KZ14,26.77
2012,на 1000 родившихся,мальчики,Кызылординская,,KZ14,27.42
2013,на 1000 родившихся,мальчики,Кызылординская,,KZ14,20.74
2014,на 1000 родившихся,мальчики,Кызылординская,,KZ14,18.38
2015,на 1000 родившихся,мальчики,Кызылординская,,KZ14,16.75
2016,на 1000 родившихся,мальчики,Кызылординская,,KZ14,14.8
2017,на 1000 родившихся,мальчики,Кызылординская,,KZ14,12.928840476432862
2018,на 1000 родившихся,мальчики,Кызылординская,,KZ14,14.51
2010,на 1000 родившихся,мальчики,Мангистауская,,KZ09,21.6
2011,на 1000 родившихся,мальчики,Мангистауская,,KZ09,21.58
2012,на 1000 родившихся,мальчики,Мангистауская,,KZ09,16.98
2013,на 1000 родившихся,мальчики,Мангистауская,,KZ09,12.98
2014,на 1000 родившихся,мальчики,Мангистауская,,KZ09,13.49
2015,на 1000 родившихся,мальчики,Мангистауская,,KZ09,14.59
2016,на 1000 родившихся,мальчики,Мангистауская,,KZ09,12.42
2017,на 1000 родившихся,мальчики,Мангистауская,,KZ09,11.333134506412167
2018,на 1000 родившихся,мальчики,Мангистауская,,KZ09,12.36
2010,на 1000 родившихся,мальчики,Южно-Казахстанская,,KZ10,26.15
2011,на 1000 родившихся,мальчики,Южно-Казахстанская,,KZ10,22.53
2012,на 1000 родившихся,мальчики,Южно-Казахстанская,,KZ10,20.19
2013,на 1000 родившихся,мальчики,Южно-Казахстанская,,KZ10,19.46
2014,на 1000 родившихся,мальчики,Южно-Казахстанская,,KZ10,16.68
2015,на 1000 родившихся,мальчики,Южно-Казахстанская,,KZ10,16.3
2016,на 1000 родившихся,мальчики,Южно-Казахстанская,,KZ10,15.19
2017,на 1000 родившихся,мальчики,Южно-Казахстанская,,KZ10,13.54036352932519
2018,на 1000 родившихся,мальчики,Южно-Казахстанская,,KZ10,13.38
2010,на 1000 родившихся,мальчики,Павлодарская,,KZ11,16.75
2011,на 1000 родившихся,мальчики,Павлодарская,,KZ11,16.26
2012,на 1000 родившихся,мальчики,Павлодарская,,KZ11,12.09
2013,на 1000 родившихся,мальчики,Павлодарская,,KZ11,11.98
2014,на 1000 родившихся,мальчики,Павлодарская,,KZ11,10.15
2015,на 1000 родившихся,мальчики,Павлодарская,,KZ11,10.3
2016,на 1000 родившихся,мальчики,Павлодарская,,KZ11,10.07
2017,на 1000 родившихся,мальчики,Павлодарская,,KZ11,11.683738796414854
2018,на 1000 родившихся,мальчики,Павлодарская,,KZ11,8.11
2010,на 1000 родившихся,мальчики,Северо-Казахстанская,,KZ16,17.48
2011,на 1000 родившихся,мальчики,Северо-Казахстанская,,KZ16,18.25
2012,на 1000 родившихся,мальчики,Северо-Казахстанская,,KZ16,14.57
2013,на 1000 родившихся,мальчики,Северо-Казахстанская,,KZ16,13.9
2014,на 1000 родившихся,мальчики,Северо-Казахстанская,,KZ16,11.85
2015,на 1000 родившихся,мальчики,Северо-Казахстанская,,KZ16,10.36
2016,на 1000 родившихся,мальчики,Северо-Казахстанская,,KZ16,10.63
2017,на 1000 родившихся,мальчики,Северо-Казахстанская,,KZ16,11.257035647279551
2018,на 1000 родившихся,мальчики,Северо-Казахстанская,,KZ16,16.18
2010,на 1000 родившихся,мальчики,Восточно-Казахстанская,,KZ15,24.66
2011,на 1000 родившихся,мальчики,Восточно-Казахстанская,,KZ15,24.62
2012,на 1000 родившихся,мальчики,Восточно-Казахстанская,,KZ15,19.99
2013,на 1000 родившихся,мальчики,Восточно-Казахстанская,,KZ15,18.27
2014,на 1000 родившихся,мальчики,Восточно-Казахстанская,,KZ15,13.9
2015,на 1000 родившихся,мальчики,Восточно-Казахстанская,,KZ15,13.32
2016,на 1000 родившихся,мальчики,Восточно-Казахстанская,,KZ15,12.82
2017,на 1000 родившихся,мальчики,Восточно-Казахстанская,,KZ15,10.154950538387464
2018,на 1000 родившихся,мальчики,Восточно-Казахстанская,,KZ15,9.77
2010,на 1000 родившихся,мальчики,г.Нур-Султан,,KZ05,14.49
2011,на 1000 родившихся,мальчики,г.Нур-Султан,,KZ05,13.11
2012,на 1000 родившихся,мальчики,г.Нур-Султан,,KZ05,14.33
2013,на 1000 родившихся,мальчики,г.Нур-Султан,,KZ05,12.56
2014,на 1000 родившихся,мальчики,г.Нур-Султан,,KZ05,9.54
2015,на 1000 родившихся,мальчики,г.Нур-Султан,,KZ05,10.07
2016,на 1000 родившихся,мальчики,г.Нур-Султан,,KZ05,8.25
2017,на 1000 родившихся,мальчики,г.Нур-Султан,,KZ05,7.67610895998913
2018,на 1000 родившихся,мальчики,г.Нур-Султан,,KZ05,9.07
2010,на 1000 родившихся,мальчики,г.Алматы,,KZ02,21.74
2011,на 1000 родившихся,мальчики,г.Алматы,,KZ02,21.45
2012,на 1000 родившихся,мальчики,г.Алматы,,KZ02,15.08
2013,на 1000 родившихся,мальчики,г.Алматы,,KZ02,14.16
2014,на 1000 родившихся,мальчики,г.Алматы,,KZ02,10.65
2015,на 1000 родившихся,мальчики,г.Алматы,,KZ02,11.29
2016,на 1000 родившихся,мальчики,г.Алматы,,KZ02,10.03
2017,на 1000 родившихся,мальчики,г.Алматы,,KZ02,9.04313821336918
2018,на 1000 родившихся,мальчики,г.Алматы,,KZ02,11.14
2010,на 1000 родившихся,мальчики,Республика Казахстан,городское население,,21.36
2011,на 1000 родившихся,мальчики,Республика Казахстан,городское население,,20.2
2012,на 1000 родившихся,мальчики,Республика Казахстан,городское население,,17.37
2013,на 1000 родившихся,мальчики,Республика Казахстан,городское население,,14.99
2014,на 1000 родившихся,мальчики,Республика Казахстан,городское население,,12.99
2015,на 1000 родившихся,мальчики,Республика Казахстан,городское население,,13.01
2016,на 1000 родившихся,мальчики,Республика Казахстан,городское население,,11.53
2017,на 1000 родившихся,мальчики,Республика Казахстан,городское население,,9.944902171502653
2018,на 1000 родившихся,мальчики,Республика Казахстан,городское население,,11.08
2010,на 1000 родившихся,мальчики,Акмолинская,городское население,KZ03,19.65
2011,на 1000 родившихся,мальчики,Акмолинская,городское население,KZ03,23.29
2012,на 1000 родившихся,мальчики,Акмолинская,городское население,KZ03,17.75
2013,на 1000 родившихся,мальчики,Акмолинская,городское население,KZ03,16.97
2014,на 1000 родившихся,мальчики,Акмолинская,городское население,KZ03,12.68
2015,на 1000 родившихся,мальчики,Акмолинская,городское население,KZ03,11.16
2016,на 1000 родившихся,мальчики,Акмолинская,городское население,KZ03,10.37
2017,на 1000 родившихся,мальчики,Акмолинская,городское население,KZ03,7.320644216691068
2018,на 1000 родившихся,мальчики,Акмолинская,городское население,KZ03,7.73
2010,на 1000 родившихся,мальчики,Актюбинская,городское население,KZ04,22.32
2011,на 1000 родившихся,мальчики,Актюбинская,городское население,KZ04,15.78
2012,на 1000 родившихся,мальчики,Актюбинская,городское население,KZ04,18.32
2013,на 1000 родившихся,мальчики,Актюбинская,городское население,KZ04,14.28
2014,на 1000 родившихся,мальчики,Актюбинская,городское население,KZ04,12.14
2015,на 1000 родившихся,мальчики,Актюбинская,городское население,KZ04,12.61
2016,на 1000 родившихся,мальчики,Актюбинская,городское население,KZ04,12.2
2017,на 1000 родившихся,мальчики,Актюбинская,городское население,KZ04,7.988165680473371
2018,на 1000 родившихся,мальчики,Актюбинская,городское население,KZ04,12.6
2010,на 1000 родившихся,мальчики,Алматинская,городское население,KZ01,22.09
2011,на 1000 родившихся,мальчики,Алматинская,городское население,KZ01,18.63
2012,на 1000 родившихся,мальчики,Алматинская,городское население,KZ01,15.99
2013,на 1000 родившихся,мальчики,Алматинская,городское население,KZ01,15.42
2014,на 1000 родившихся,мальчики,Алматинская,городское население,KZ01,9.7
2015,на 1000 родившихся,мальчики,Алматинская,городское население,KZ01,12.62
2016,на 1000 родившихся,мальчики,Алматинская,городское население,KZ01,12.66
2017,на 1000 родившихся,мальчики,Алматинская,городское население,KZ01,10.997403390866046
2018,на 1000 родившихся,мальчики,Алматинская,городское население,KZ01,9.41
2010,на 1000 родившихся,мальчики,Атырауская,городское население,KZ06,17.41
2011,на 1000 родившихся,мальчики,Атырауская,городское население,KZ06,21.04
2012,на 1000 родившихся,мальчики,Атырауская,городское население,KZ06,21.13
2013,на 1000 родившихся,мальчики,Атырауская,городское население,KZ06,11.61
2014,на 1000 родившихся,мальчики,Атырауская,городское население,KZ06,11.32
2015,на 1000 родившихся,мальчики,Атырауская,городское население,KZ06,10.42
2016,на 1000 родившихся,мальчики,Атырауская,городское население,KZ06,9.82
2017,на 1000 родившихся,мальчики,Атырауская,городское население,KZ06,8.837209302325583
2018,на 1000 родившихся,мальчики,Атырауская,городское население,KZ06,11.05
2010,на 1000 родившихся,мальчики,Западно-Казахстанская,городское население,KZ07,12.04
2011,на 1000 родившихся,мальчики,Западно-Казахстанская,городское население,KZ07,12.2
2012,на 1000 родившихся,мальчики,Западно-Казахстанская,городское население,KZ07,11.84
2013,на 1000 родившихся,мальчики,Западно-Казахстанская,городское население,KZ07,10.79
2014,на 1000 родившихся,мальчики,Западно-Казахстанская,городское население,KZ07,11.01
2015,на 1000 родившихся,мальчики,Западно-Казахстанская,городское население,KZ07,10.59
2016,на 1000 родившихся,мальчики,Западно-Казахстанская,городское население,KZ07,11.02
2017,на 1000 родившихся,мальчики,Западно-Казахстанская,городское население,KZ07,7.884362680683311
2018,на 1000 родившихся,мальчики,Западно-Казахстанская,городское население,KZ07,9.76
2010,на 1000 родившихся,мальчики,Жамбылская,городское население,KZ17,22.86
2011,на 1000 родившихся,мальчики,Жамбылская,городское население,KZ17,22.97
2012,на 1000 родившихся,мальчики,Жамбылская,городское население,KZ17,16.51
2013,на 1000 родившихся,мальчики,Жамбылская,городское население,KZ17,20.8
2014,на 1000 родившихся,мальчики,Жамбылская,городское население,KZ17,18.3
2015,на 1000 родившихся,мальчики,Жамбылская,городское население,KZ17,20.26
2016,на 1000 родившихся,мальчики,Жамбылская,городское население,KZ17,16.45
2017,на 1000 родившихся,мальчики,Жамбылская,городское население,KZ17,14.061654948620875
2018,на 1000 родившихся,мальчики,Жамбылская,городское население,KZ17,10.99
2010,на 1000 родившихся,мальчики,Карагандинская,городское население,KZ12,20.52
2011,на 1000 родившихся,мальчики,Карагандинская,городское население,KZ12,15.33
2012,на 1000 родившихся,мальчики,Карагандинская,городское население,KZ12,16.37
2013,на 1000 родившихся,мальчики,Карагандинская,городское население,KZ12,11.02
2014,на 1000 родившихся,мальчики,Карагандинская,городское население,KZ12,11.68
2015,на 1000 родившихся,мальчики,Карагандинская,городское население,KZ12,12.61
2016,на 1000 родившихся,мальчики,Карагандинская,городское население,KZ12,11.08
2017,на 1000 родившихся,мальчики,Карагандинская,городское население,KZ12,11.907339250920112
2018,на 1000 родившихся,мальчики,Карагандинская,городское население,KZ12,10.93
2010,на 1000 родившихся,мальчики,Костанайская,городское население,KZ13,15.9
2011,на 1000 родившихся,мальчики,Костанайская,городское население,KZ13,16.83
2012,на 1000 родившихся,мальчики,Костанайская,городское население,KZ13,18.16
2013,на 1000 родившихся,мальчики,Костанайская,городское население,KZ13,17.43
2014,на 1000 родившихся,мальчики,Костанайская,городское население,KZ13,13.45
2015,на 1000 родившихся,мальчики,Костанайская,городское население,KZ13,15.76
2016,на 1000 родившихся,мальчики,Костанайская,городское население,KZ13,10.54
2017,на 1000 родившихся,мальчики,Костанайская,городское население,KZ13,11.197243755383289
2018,на 1000 родившихся,мальчики,Костанайская,городское население,KZ13,13.96
2010,на 1000 родившихся,мальчики,Кызылординская,городское население,KZ14,28.48
2011,на 1000 родившихся,мальчики,Кызылординская,городское население,KZ14,22.65
2012,на 1000 родившихся,мальчики,Кызылординская,городское население,KZ14,24.73
2013,на 1000 родившихся,мальчики,Кызылординская,городское население,KZ14,16.17
2014,на 1000 родившихся,мальчики,Кызылординская,городское население,KZ14,18.45
2015,на 1000 родившихся,мальчики,Кызылординская,городское население,KZ14,19.36
2016,на 1000 родившихся,мальчики,Кызылординская,городское население,KZ14,18.1
2017,на 1000 родившихся,мальчики,Кызылординская,городское население,KZ14,11.610406364222749
2018,на 1000 родившихся,мальчики,Кызылординская,городское население,KZ14,16.02
2010,на 1000 родившихся,мальчики,Мангистауская,городское население,KZ09,21.84
2011,на 1000 родившихся,мальчики,Мангистауская,городское население,KZ09,22.35
2012,на 1000 родившихся,мальчики,Мангистауская,городское население,KZ09,14.81
2013,на 1000 родившихся,мальчики,Мангистауская,городское население,KZ09,11.46
