Year,Units,Регионы,Местность,Возраст,GeoCode,Value
2015,процент,,,16-24,,45.5
2016,процент,,,16-24,,45.0
2017,процент,,,16-24,,49.3
2018,процент,,,16-24,,38.3
2010,процент,,,25-28,,22.2
2011,процент,,,25-28,,40.9
2012,процент,,,25-28,,31.2
2013,процент,,,25-28,,61.2
2014,процент,,,25-28,,26.6
2015,процент,,,25-28,,15.1
2016,процент,,,25-28,,15.8
2017,процент,,,25-28,,22.6
2018,процент,,,25-28,,44.1
2010,процент,,,29-34,,45.3
2011,процент,,,29-34,,51.6
2012,процент,,,29-34,,53.5
2013,процент,,,29-34,,64.4
2014,процент,,,29-34,,32.1
2015,процент,,,29-34,,30.7
2016,процент,,,29-34,,45.4
2017,процент,,,29-34,,32.2
2018,процент,,,29-34,,47.2
2010,процент,,,35-44,,46.2
2011,процент,,,35-44,,44.1
2012,процент,,,35-44,,39.6
2013,процент,,,35-44,,32.9
2014,процент,,,35-44,,36.4
2015,процент,,,35-44,,29.0
2016,процент,,,35-44,,28.7
2017,процент,,,35-44,,38.6
2018,процент,,,35-44,,45.2
2010,процент,,,45-54,,44.3
2011,процент,,,45-54,,42.5
2012,процент,,,45-54,,37.3
2013,процент,,,45-54,,41.0
2014,процент,,,45-54,,36.8
2015,процент,,,45-54,,32.1
2016,процент,,,45-54,,35.8
2017,процент,,,45-54,,43.4
2018,процент,,,45-54,,48.1
2010,процент,,,55-64,,24.6
2011,процент,,,55-64,,26.9
2012,процент,,,55-64,,20.1
2013,процент,,,55-64,,40.7
2014,процент,,,55-64,,37.8
2015,процент,,,55-64,,30.3
2016,процент,,,55-64,,44.0
2017,процент,,,55-64,,26.7
2018,процент,,,55-64,,47.0
2013,процент,,,65 и старше,,0.0
2014,процент,,,65 и старше,,31.5
2015,процент,,,65 и старше,,19.2
2016,процент,,,65 и старше,,0.0
2017,процент,,,65 и старше,,45.3
2018,процент,,,65 и старше,,26.6
2010,процент,Актюбинская,,,KZ04,41.7
2011,процент,Актюбинская,,,KZ04,41.6
2012,процент,Актюбинская,,,KZ04,36.1
2013,процент,Актюбинская,,,KZ04,27.2
2014,процент,Актюбинская,,,KZ04,37.6
2015,процент,Актюбинская,,,KZ04,34.3
2016,процент,Актюбинская,,,KZ04,35.7
2017,процент,Актюбинская,,,KZ04,39.8
2018,процент,Актюбинская,,,KZ04,33.7
2010,процент,,,16-24,,100.0
2011,процент,,,16-24,,76.5
2012,процент,,,16-24,,100.0
2013,процент,,,16-24,,6.7
2014,процент,,,16-24,,13.5
2015,процент,,,16-24,,33.0
2016,процент,,,16-24,,25.1
2017,процент,,,16-24,,50.8
2018,процент,,,16-24,,32.6
2010,процент,,,25-28,,56.3
2011,процент,,,25-28,,61.7
2012,процент,,,25-28,,48.7
2013,процент,,,25-28,,33.6
2014,процент,,,25-28,,43.8
2015,процент,,,25-28,,42.2
2016,процент,,,25-28,,35.2
2017,процент,,,25-28,,49.7
2018,процент,,,25-28,,21.4
2010,процент,,,29-34,,25.8
2011,процент,,,29-34,,22.6
2012,процент,,,29-34,,31.7
2013,процент,,,29-34,,15.6
2014,процент,,,29-34,,43.3
2015,процент,,,29-34,,27.3
2016,процент,,,29-34,,42.9
2017,процент,,,29-34,,41.5
2018,процент,,,29-34,,23.1
2010,процент,,,35-44,,47.6
2011,процент,,,35-44,,37.3
2012,процент,,,35-44,,34.3
2013,процент,,,35-44,,41.9
2014,процент,,,35-44,,41.8
2015,процент,,,35-44,,24.5
2016,процент,,,35-44,,32.2
2017,процент,,,35-44,,36.5
2018,процент,,,35-44,,32.4
2010,процент,,,45-54,,24.1
2011,процент,,,45-54,,38.1
2012,процент,,,45-54,,37.3
2013,процент,,,45-54,,24.5
2014,процент,,,45-54,,36.5
2015,процент,,,45-54,,52.7
2016,процент,,,45-54,,47.6
2017,процент,,,45-54,,41.0
2018,процент,,,45-54,,46.5
2010,процент,,,55-64,,51.9
2011,процент,,,55-64,,24.7
2012,процент,,,55-64,,16.7
2013,процент,,,55-64,,29.1
2014,процент,,,55-64,,16.7
2015,процент,,,55-64,,29.9
2016,процент,,,55-64,,24.0
2017,процент,,,55-64,,22.2
2018,процент,,,55-64,,46.4
2014,процент,,,65 и старше,,0.0
2015,процент,,,65 и старше,,0.0
2016,процент,,,65 и старше,,4.7
2017,процент,,,65 и старше,,0.0
2018,процент,,,65 и старше,,0.0
2010,процент,Алматинская,,,KZ01,31.5
2011,процент,Алматинская,,,KZ01,24.4
2012,процент,Алматинская,,,KZ01,33.4
2013,процент,Алматинская,,,KZ01,45.6
2014,процент,Алматинская,,,KZ01,26.5
2015,процент,Алматинская,,,KZ01,31.3
2016,процент,Алматинская,,,KZ01,35.7
2017,процент,Алматинская,,,KZ01,33.8
2018,процент,Алматинская,,,KZ01,39.3
2010,процент,,,16-24,,29.8
2011,процент,,,16-24,,48.0
2012,процент,,,16-24,,40.0
2013,процент,,,16-24,,34.1
2014,процент,,,16-24,,17.3
2015,процент,,,16-24,,44.1
2016,процент,,,16-24,,25.1
2017,процент,,,16-24,,35.9
2018,процент,,,16-24,,46.5
2010,процент,,,25-28,,25.2
2011,процент,,,25-28,,20.7
2012,процент,,,25-28,,41.0
2013,процент,,,25-28,,70.6
2014,процент,,,25-28,,34.2
2015,процент,,,25-28,,31.1
2016,процент,,,25-28,,35.2
2017,процент,,,25-28,,31.9
2018,процент,,,25-28,,37.9
2010,процент,,,29-34,,0.0
2011,процент,,,29-34,,0.0
2012,процент,,,29-34,,45.1
2013,процент,,,29-34,,58.9
2014,процент,,,29-34,,20.2
2015,процент,,,29-34,,26.9
2016,процент,,,29-34,,42.9
2017,процент,,,29-34,,32.6
2018,процент,,,29-34,,39.0
2010,процент,,,35-44,,40.4
2011,процент,,,35-44,,27.5
2012,процент,,,35-44,,19.2
2013,процент,,,35-44,,43.7
2014,процент,,,35-44,,27.6
2015,процент,,,35-44,,28.1
2016,процент,,,35-44,,32.2
2017,процент,,,35-44,,30.1
2018,процент,,,35-44,,41.6
2010,процент,,,45-54,,36.6
2011,процент,,,45-54,,32.9
2012,процент,,,45-54,,28.7
2013,процент,,,45-54,,44.4
2014,процент,,,45-54,,31.1
2015,процент,,,45-54,,31.0
2016,процент,,,45-54,,47.6
2017,процент,,,45-54,,40.2
2018,процент,,,45-54,,37.9
2010,процент,,,55-64,,46.9
2011,процент,,,55-64,,24.1
2012,процент,,,55-64,,46.7
2013,процент,,,55-64,,39.5
2014,процент,,,55-64,,26.1
2015,процент,,,55-64,,33.9
2016,процент,,,55-64,,24.0
2017,процент,,,55-64,,27.4
2018,процент,,,55-64,,35.8
2011,процент,,,65 и старше,,47.1
2013,процент,,,65 и старше,,33.4
2014,процент,,,65 и старше,,25.6
2015,процент,,,65 и старше,,9.8
2016,процент,,,65 и старше,,4.7
2017,процент,,,65 и старше,,72.5
2018,процент,,,65 и старше,,0.0
2010,процент,Атырауская,,,KZ06,18.9
2011,процент,Атырауская,,,KZ06,26.7
2012,процент,Атырауская,,,KZ06,31.8
2013,процент,Атырауская,,,KZ06,28.9
2014,процент,Атырауская,,,KZ06,25.4
2015,процент,Атырауская,,,KZ06,33.8
2016,процент,Атырауская,,,KZ06,30.0
2017,процент,Атырауская,,,KZ06,31.0
2018,процент,Атырауская,,,KZ06,35.6
2011,процент,,,16-24,,0.0
2012,процент,,,16-24,,78.9
2013,процент,,,16-24,,47.4
2014,процент,,,16-24,,39.1
2015,процент,,,16-24,,17.1
2016,процент,,,16-24,,33.8
2017,процент,,,16-24,,2.2
2018,процент,,,16-24,,23.0
2011,процент,,,25-28,,71.3
2012,процент,,,25-28,,35.3
2013,процент,,,25-28,,20.7
2014,процент,,,25-28,,12.7
2015,процент,,,25-28,,0.0
2016,процент,,,25-28,,49.1
2017,процент,,,25-28,,21.4
2018,процент,,,25-28,,61.6
2010,процент,,,29-34,,33.4
2011,процент,,,29-34,,25.2
2012,процент,,,29-34,,24.8
2013,процент,,,29-34,,61.7
2014,процент,,,29-34,,18.4
2015,процент,,,29-34,,39.3
2016,процент,,,29-34,,7.5
2017,процент,,,29-34,,32.8
2018,процент,,,29-34,,24.6
2010,процент,,,35-44,,0.0
2011,процент,,,35-44,,24.4
2012,процент,,,35-44,,42.2
2013,процент,,,35-44,,24.4
2014,процент,,,35-44,,36.2
2015,процент,,,35-44,,50.5
2016,процент,,,35-44,,34.1
2017,процент,,,35-44,,40.2
2018,процент,,,35-44,,35.7
2010,процент,,,45-54,,32.6
2011,процент,,,45-54,,34.7
2012,процент,,,45-54,,25.9
2013,процент,,,45-54,,28.7
2014,процент,,,45-54,,28.7
2015,процент,,,45-54,,29.7
2016,процент,,,45-54,,49.1
2017,процент,,,45-54,,28.7
2018,процент,,,45-54,,41.4
2010,процент,,,55-64,,15.6
2011,процент,,,55-64,,6.1
2012,процент,,,55-64,,13.7
2013,процент,,,55-64,,17.7
2014,процент,,,55-64,,13.3
2015,процент,,,55-64,,18.5
2016,процент,,,55-64,,23.4
2017,процент,,,55-64,,31.3
2018,процент,,,55-64,,38.1
2012,процент,,,65 и старше,,0.0
2013,процент,,,65 и старше,,0.0
2014,процент,,,65 и старше,,0.0
2015,процент,,,65 и старше,,0.0
2016,процент,,,65 и старше,,0.0
2018,процент,,,65 и старше,,0.0
2010,процент,Западно-Казахстанская,,,KZ07,21.2
2011,процент,Западно-Казахстанская,,,KZ07,24.7
2012,процент,Западно-Казахстанская,,,KZ07,20.4
2013,процент,Западно-Казахстанская,,,KZ07,23.5
2014,процент,Западно-Казахстанская,,,KZ07,30.6
2015,процент,Западно-Казахстанская,,,KZ07,35.9
2016,процент,Западно-Казахстанская,,,KZ07,34.5
2017,процент,Западно-Казахстанская,,,KZ07,35.8
2018,процент,Западно-Казахстанская,,,KZ07,36.4
2010,процент,,,16-24,,7.0
2011,процент,,,16-24,,31.0
2013,процент,,,16-24,,0.0
2014,процент,,,16-24,,31.3
2015,процент,,,16-24,,48.1
2016,процент,,,16-24,,40.4
2017,процент,,,16-24,,44.1
2018,процент,,,16-24,,56.1
2010,процент,,,25-28,,13.2
2011,процент,,,25-28,,0.0
2013,процент,,,25-28,,80.4
2014,процент,,,25-28,,27.1
2015,процент,,,25-28,,43.0
2016,процент,,,25-28,,47.7
2017,процент,,,25-28,,33.9
2018,процент,,,25-28,,36.8
2010,процент,,,29-34,,31.4
2011,процент,,,29-34,,32.4
2012,процент,,,29-34,,11.7
2013,процент,,,29-34,,0.0
2014,процент,,,29-34,,43.2
2015,процент,,,29-34,,31.9
2016,процент,,,29-34,,37.3
2017,процент,,,29-34,,25.9
2018,процент,,,29-34,,47.3
2010,процент,,,35-44,,14.9
2011,процент,,,35-44,,22.7
2012,процент,,,35-44,,15.5
2013,процент,,,35-44,,30.4
2014,процент,,,35-44,,32.6
2015,процент,,,35-44,,24.9
2016,процент,,,35-44,,31.4
2017,процент,,,35-44,,38.6
2018,процент,,,35-44,,34.2
2010,процент,,,45-54,,19.3
2011,процент,,,45-54,,17.2
2012,процент,,,45-54,,26.8
2013,процент,,,45-54,,26.8
2014,процент,,,45-54,,27.6
2015,процент,,,45-54,,41.8
2016,процент,,,45-54,,34.1
2017,процент,,,45-54,,40.3
2018,процент,,,45-54,,31.6
2010,процент,,,55-64,,32.5
2011,процент,,,55-64,,38.1
2012,процент,,,55-64,,31.6
2013,процент,,,55-64,,17.7
2014,процент,,,55-64,,26.9
2015,процент,,,55-64,,36.7
2016,процент,,,55-64,,31.1
2017,процент,,,55-64,,32.5
2018,процент,,,55-64,,32.0
2014,процент,,,65 и старше,,0.0
2010,процент,Жамбылская,,,KZ17,22.3
2011,процент,Жамбылская,,,KZ17,30.1
2012,процент,Жамбылская,,,KZ17,39.4
2013,процент,Жамбылская,,,KZ17,27.0
2014,процент,Жамбылская,,,KZ17,22.8
2015,процент,Жамбылская,,,KZ17,20.5
2016,процент,Жамбылская,,,KZ17,19.2
2017,процент,Жамбылская,,,KZ17,18.5
2018,процент,Жамбылская,,,KZ17,40.7
2011,процент,,,16-24,,19.0
2012,процент,,,16-24,,36.6
2013,процент,,,16-24,,0.0
2014,процент,,,16-24,,4.2
2015,процент,,,16-24,,4.1
2016,процент,,,16-24,,0.0
2017,процент,,,16-24,,31.1
2018,процент,,,16-24,,23.6
2010,процент,,,25-28,,100.0
2011,процент,,,25-28,,61.4
2012,процент,,,25-28,,54.2
2013,процент,,,25-28,,28.1
2014,процент,,,25-28,,25.0
2015,процент,,,25-28,,32.7
2016,процент,,,25-28,,9.7
2017,процент,,,25-28,,20.7
2018,процент,,,25-28,,35.5
2010,процент,,,29-34,,0.0
2011,процент,,,29-34,,0.0
2012,процент,,,29-34,,24.9
2013,процент,,,29-34,,21.0
2014,процент,,,29-34,,11.3
2015,процент,,,29-34,,13.6
2016,процент,,,29-34,,17.8
2017,процент,,,29-34,,9.0
2018,процент,,,29-34,,39.6
2010,процент,,,35-44,,30.2
2011,процент,,,35-44,,39.6
2012,процент,,,35-44,,28.7
2013,процент,,,35-44,,31.7
2014,процент,,,35-44,,22.8
2015,процент,,,35-44,,18.4
2016,процент,,,35-44,,13.3
2017,процент,,,35-44,,20.1
2018,процент,,,35-44,,46.8
2010,процент,,,45-54,,39.8
2011,процент,,,45-54,,44.8
2012,процент,,,45-54,,53.3
2013,процент,,,45-54,,29.6
2014,процент,,,45-54,,42.2
2015,процент,,,45-54,,37.4
2016,процент,,,45-54,,36.7
2017,процент,,,45-54,,12.0
2018,процент,,,45-54,,47.8
2010,процент,,,55-64,,6.5
2011,процент,,,55-64,,15.9
2012,процент,,,55-64,,21.5
2013,процент,,,55-64,,24.6
2014,процент,,,55-64,,28.3
2015,процент,,,55-64,,10.4
2016,процент,,,55-64,,22.5
2017,процент,,,55-64,,17.6
2018,процент,,,55-64,,23.1
2012,процент,,,65 и старше,,100.0
2014,процент,,,65 и старше,,0.0
2016,процент,,,65 и старше,,100.0
2010,процент,Карагандинская,,,KZ12,41.0
2011,процент,Карагандинская,,,KZ12,40.0
2012,процент,Карагандинская,,,KZ12,43.1
2013,процент,Карагандинская,,,KZ12,38.6
2014,процент,Карагандинская,,,KZ12,35.7
2015,процент,Карагандинская,,,KZ12,38.9
2016,процент,Карагандинская,,,KZ12,33.8
2017,процент,Карагандинская,,,KZ12,32.9
2018,процент,Карагандинская,,,KZ12,36.3
2010,процент,,,16-24,,32.9
2011,процент,,,16-24,,53.0
2012,процент,,,16-24,,82.0
2013,процент,,,16-24,,53.1
2014,процент,,,16-24,,31.1
2015,процент,,,16-24,,49.8
2016,процент,,,16-24,,47.9
2017,процент,,,16-24,,26.0
2018,процент,,,16-24,,36.1
2010,процент,,,25-28,,33.8
2011,процент,,,25-28,,40.0
2012,процент,,,25-28,,33.0
2013,процент,,,25-28,,31.1
2014,процент,,,25-28,,20.2
2015,процент,,,25-28,,34.3
2016,процент,,,25-28,,26.9
2017,процент,,,25-28,,36.9
2018,процент,,,25-28,,31.9
2010,процент,,,29-34,,36.0
2011,процент,,,29-34,,36.5
2012,процент,,,29-34,,45.5
2013,процент,,,29-34,,30.1
2014,процент,,,29-34,,33.4
2015,процент,,,29-34,,36.7
2016,процент,,,29-34,,36.3
2017,процент,,,29-34,,20.2
2018,процент,,,29-34,,36.1
2010,процент,,,35-44,,41.8
2011,процент,,,35-44,,37.5
2012,процент,,,35-44,,47.5
2013,процент,,,35-44,,44.5
2014,процент,,,35-44,,35.2
2015,процент,,,35-44,,34.4
2016,процент,,,35-44,,28.6
2017,процент,,,35-44,,35.4
2018,процент,,,35-44,,40.1
2010,процент,,,45-54,,46.6
2011,процент,,,45-54,,45.3
2012,процент,,,45-54,,42.1
2013,процент,,,45-54,,45.0
2014,процент,,,45-54,,43.4
2015,процент,,,45-54,,46.8
2016,процент,,,45-54,,37.2
2017,процент,,,45-54,,39.3
2018,процент,,,45-54,,37.6
2010,процент,,,55-64,,44.6
2011,процент,,,55-64,,33.1
2012,процент,,,55-64,,35.3
2013,процент,,,55-64,,22.8
2014,процент,,,55-64,,42.9
2015,процент,,,55-64,,38.1
2016,процент,,,55-64,,36.3
2017,процент,,,55-64,,32.7
2018,процент,,,55-64,,29.1
2010,процент,,,65 и старше,,0.0
2011,процент,,,65 и старше,,0.0
2012,процент,,,65 и старше,,54.4
2013,процент,,,65 и старше,,26.8
2014,процент,,,65 и старше,,8.1
2015,процент,,,65 и старше,,27.8
2016,процент,,,65 и старше,,14.0
2017,процент,,,65 и старше,,26.9
2018,процент,,,65 и старше,,37.8
2010,процент,Костанайская,,,KZ13,39.6
2011,процент,Костанайская,,,KZ13,43.9
2012,процент,Костанайская,,,KZ13,43.1
2013,процент,Костанайская,,,KZ13,34.6
2014,процент,Костанайская,,,KZ13,38.6
2015,процент,Костанайская,,,KZ13,42.9
2016,процент,Костанайская,,,KZ13,39.6
2017,процент,Костанайская,,,KZ13,38.8
2018,процент,Костанайская,,,KZ13,42.9
2010,процент,,,16-24,,13.4
2011,процент,,,16-24,,57.7
2012,процент,,,16-24,,47.3
2013,процент,,,16-24,,56.2
2014,процент,,,16-24,,44.5
2015,процент,,,16-24,,45.3
2016,процент,,,16-24,,40.2
2017,процент,,,16-24,,40.1
2018,процент,,,16-24,,48.6
2010,процент,,,25-28,,40.4
2011,процент,,,25-28,,41.2
2012,процент,,,25-28,,54.0
2013,процент,,,25-28,,44.3
2014,процент,,,25-28,,35.6
2015,процент,,,25-28,,40.2
2016,процент,,,25-28,,38.2
2017,процент,,,25-28,,30.8
2018,процент,,,25-28,,44.5
2010,процент,,,29-34,,49.1
2011,процент,,,29-34,,53.6
2012,процент,,,29-34,,55.9
2013,процент,,,29-34,,35.4
2014,процент,,,29-34,,34.7
2015,процент,,,29-34,,44.0
2016,процент,,,29-34,,25.1
2017,процент,,,29-34,,29.9
2018,процент,,,29-34,,35.0
2010,процент,,,35-44,,33.0
2011,процент,,,35-44,,42.2
2012,процент,,,35-44,,43.3
2013,процент,,,35-44,,27.3
2014,процент,,,35-44,,40.3
2015,процент,,,35-44,,42.9
2016,процент,,,35-44,,42.5
2017,процент,,,35-44,,49.6
2018,процент,,,35-44,,45.3
2010,процент,,,45-54,,40.5
2011,процент,,,45-54,,45.9
2012,процент,,,45-54,,39.6
2013,процент,,,45-54,,37.0
2014,процент,,,45-54,,43.2
2015,процент,,,45-54,,45.0
2016,процент,,,45-54,,51.4
2017,процент,,,45-54,,44.0
2018,процент,,,45-54,,47.9
2010,процент,,,55-64,,36.1
2011,процент,,,55-64,,28.9
2012,процент,,,55-64,,15.1
2013,процент,,,55-64,,17.6
2014,процент,,,55-64,,27.2
2015,процент,,,55-64,,36.0
2016,процент,,,55-64,,33.8
2017,процент,,,55-64,,25.1
2018,процент,,,55-64,,37.4
2010,процент,,,65 и старше,,83.9
2011,процент,,,65 и старше,,0.0
2014,процент,,,65 и старше,,32.5
2015,процент,,,65 и старше,,17.7
2016,процент,,,65 и старше,,15.9
2017,процент,,,65 и старше,,14.1
2018,процент,,,65 и старше,,48.6
2010,процент,Кызылординская,,,KZ14,38.1
2011,процент,Кызылординская,,,KZ14,40.8
2012,процент,Кызылординская,,,KZ14,31.0
2013,процент,Кызылординская,,,KZ14,30.9
2014,процент,Кызылординская,,,KZ14,34.0
2015,процент,Кызылординская,,,KZ14,32.6
2016,процент,Кызылординская,,,KZ14,31.1
2017,процент,Кызылординская,,,KZ14,30.5
2018,процент,Кызылординская,,,KZ14,37.2
2010,процент,,,16-24,,100.0
2011,процент,,,16-24,,100.0
2012,процент,,,16-24,,0.0
2013,процент,,,16-24,,0.0
2014,процент,,,16-24,,27.7
2015,процент,,,16-24,,0.0
2016,процент,,,16-24,,21.7
2017,процент,,,16-24,,100.0
2018,процент,,,16-24,,47.8
2010,процент,,,25-28,,89.4
2011,процент,,,25-28,,33.2
2012,процент,,,25-28,,21.3
2013,процент,,,25-28,,0.0
2014,процент,,,25-28,,65.2
2015,процент,,,25-28,,33.8
2016,процент,,,25-28,,22.9
2017,процент,,,25-28,,43.3
2018,процент,,,25-28,,33.9
2010,процент,,,29-34,,58.7
2011,процент,,,29-34,,53.6
2012,процент,,,29-34,,46.9
2013,процент,,,29-34,,35.1
2014,процент,,,29-34,,28.9
2015,процент,,,29-34,,33.6
2016,процент,,,29-34,,31.0
2017,процент,,,29-34,,29.0
2018,процент,,,29-34,,32.1
2010,процент,,,35-44,,34.6
2011,процент,,,35-44,,39.8
2012,процент,,,35-44,,33.3
2013,процент,,,35-44,,34.6
2014,процент,,,35-44,,47.7
2015,процент,,,35-44,,44.2
2016,процент,,,35-44,,22.8
2017,процент,,,35-44,,34.0
2018,процент,,,35-44,,35.8
2010,процент,,,45-54,,33.4
2011,процент,,,45-54,,41.9
2012,процент,,,45-54,,28.2
2013,процент,,,45-54,,26.8
2014,процент,,,45-54,,29.2
2015,процент,,,45-54,,30.3
2016,процент,,,45-54,,42.5
2017,процент,,,45-54,,33.5
2018,процент,,,45-54,,47.3
2010,процент,,,55-64,,23.6
2011,процент,,,55-64,,18.9
2012,процент,,,55-64,,37.0
2013,процент,,,55-64,,44.9
2014,процент,,,55-64,,16.2
2015,процент,,,55-64,,13.0
2016,процент,,,55-64,,30.8
2017,процент,,,55-64,,16.6
2018,процент,,,55-64,,31.8
2010,процент,,,65 и старше,,0.0
2011,процент,,,65 и старше,,0.0
2012,процент,,,65 и старше,,0.0
2010,процент,Мангистауская,,,KZ09,30.4
2011,процент,Мангистауская,,,KZ09,32.9
2012,процент,Мангистауская,,,KZ09,40.7
2013,процент,Мангистауская,,,KZ09,30.0
2014,процент,Мангистауская,,,KZ09,44.6
2015,процент,Мангистауская,,,KZ09,52.0
2016,процент,Мангистауская,,,KZ09,44.4
2017,процент,Мангистауская,,,KZ09,42.0
2018,процент,Мангистауская,,,KZ09,37.4
2010,процент,,,16-24,,25.8
2011,процент,,,16-24,,33.4
2012,процент,,,16-24,,100.0
2013,процент,,,16-24,,0.0
2014,процент,,,16-24,,41.1
2015,процент,,,16-24,,36.3
2016,процент,,,16-24,,40.7
2017,процент,,,16-24,,18.8
2018,процент,,,16-24,,35.2
2010,процент,,,25-28,,22.7
2011,процент,,,25-28,,34.2
2012,процент,,,25-28,,52.6
2013,процент,,,25-28,,10.3
2014,процент,,,25-28,,47.7
2015,процент,,,25-28,,63.3
2016,процент,,,25-28,,46.0
2017,процент,,,25-28,,53.1
2018,процент,,,25-28,,47.8
2010,процент,,,29-34,,30.0
2011,процент,,,29-34,,19.0
2012,процент,,,29-34,,36.4
2013,процент,,,29-34,,24.7
2014,процент,,,29-34,,38.5
2015,процент,,,29-34,,47.5
2016,процент,,,29-34,,47.4
2017,процент,,,29-34,,44.9
2018,процент,,,29-34,,30.8
2010,процент,,,35-44,,35.3
2011,процент,,,35-44,,40.4
2012,процент,,,35-44,,38.0
2013,процент,,,35-44,,43.5
2014,процент,,,35-44,,50.2
2015,процент,,,35-44,,62.3
2016,процент,,,35-44,,41.9
2017,процент,,,35-44,,46.5
2018,процент,,,35-44,,39.7
2010,процент,,,45-54,,34.2
2011,процент,,,45-54,,38.1
2012,процент,,,45-54,,56.6
2013,процент,,,45-54,,28.1
2014,процент,,,45-54,,48.2
2015,процент,,,45-54,,46.5
2016,процент,,,45-54,,47.1
2017,процент,,,45-54,,38.0
2018,процент,,,45-54,,40.9
2010,процент,,,55-64,,15.4
2011,процент,,,55-64,,24.8
2012,процент,,,55-64,,33.0
2013,процент,,,55-64,,12.1
2014,процент,,,55-64,,31.6
2015,процент,,,55-64,,41.6
2016,процент,,,55-64,,37.6
2017,процент,,,55-64,,29.3
2018,процент,,,55-64,,27.0
2010,процент,,,65 и старше,,0.0
2011,процент,,,65 и старше,,0.0
2012,процент,,,65 и старше,,0.0
2014,процент,,,65 и старше,,6.8
2015,процент,,,65 и старше,,54.5
2017,процент,,,65 и старше,,0.0
2010,процент,Южно-Казахстанская,,,KZ10,18.4
2011,процент,Южно-Казахстанская,,,KZ10,28.1
2012,процент,Южно-Казахстанская,,,KZ10,28.7
2013,процент,Южно-Казахстанская,,,KZ10,32.5
2014,процент,Южно-Казахстанская,,,KZ10,32.9
2015,процент,Южно-Казахстанская,,,KZ10,28.7
2016,процент,Южно-Казахстанская,,,KZ10,40.9
2017,процент,Южно-Казахстанская,,,KZ10,26.5
2010,процент,,,16-24,,0.0
2011,процент,,,16-24,,31.6
2012,процент,,,16-24,,68.7
2013,процент,,,16-24,,32.6
2014,процент,,,16-24,,22.0
2015,процент,,,16-24,,5.3
2016,процент,,,16-24,,5.2
2017,процент,,,16-24,,12.4
2010,процент,,,25-28,,100.0
2011,процент,,,25-28,,46.6
2012,процент,,,25-28,,43.3
2013,процент,,,25-28,,3.0
2014,процент,,,25-28,,31.6
2015,процент,,,25-28,,12.9
2016,процент,,,25-28,,10.9
2017,процент,,,25-28,,14.9
2010,процент,,,29-34,,34.8
2011,процент,,,29-34,,48.4
2012,процент,,,29-34,,56.3
2013,процент,,,29-34,,47.2
2014,процент,,,29-34,,36.2
2015,процент,,,29-34,,33.9
2016,процент,,,29-34,,46.9
2017,процент,,,29-34,,21.1
2010,процент,,,35-44,,14.3
2011,процент,,,35-44,,7.5
2012,процент,,,35-44,,17.9
2013,процент,,,35-44,,34.9
2014,процент,,,35-44,,36.6
2015,процент,,,35-44,,39.7
2016,процент,,,35-44,,60.7
2017,процент,,,35-44,,29.9
2010,процент,,,45-54,,14.7
2011,процент,,,45-54,,24.4
2012,процент,,,45-54,,23.4
2013,процент,,,45-54,,32.3
2014,процент,,,45-54,,31.5
2015,процент,,,45-54,,21.4
2016,процент,,,45-54,,39.8
2017,процент,,,45-54,,40.2
2010,процент,,,55-64,,23.3
2011,процент,,,55-64,,27.4
2012,процент,,,55-64,,31.1
2013,процент,,,55-64,,26.7
2014,процент,,,55-64,,25.2
2015,процент,,,55-64,,24.3
2016,процент,,,55-64,,67.2
2017,процент,,,55-64,,11.3
2015,процент,,,65 и старше,,0.0
2016,процент,,,65 и старше,,0.0
2010,процент,Павлодарская,,,KZ11,41.7
2011,процент,Павлодарская,,,KZ11,41.9
2012,процент,Павлодарская,,,KZ11,30.9
2013,процент,Павлодарская,,,KZ11,36.3
2014,процент,Павлодарская,,,KZ11,32.0
2015,процент,Павлодарская,,,KZ11,39.1
2016,процент,Павлодарская,,,KZ11,40.0
2017,процент,Павлодарская,,,KZ11,43.6
2018,процент,Павлодарская,,,KZ11,40.2
2010,процент,,,16-24,,77.4
2011,процент,,,16-24,,21.9
2012,процент,,,16-24,,27.6
2013,процент,,,16-24,,45.9
2014,процент,,,16-24,,22.1
2015,процент,,,16-24,,42.0
2016,процент,,,16-24,,72.0
2017,процент,,,16-24,,60.4
2018,процент,,,16-24,,63.4
2010,процент,,,25-28,,35.0
2011,процент,,,25-28,,52.7
2012,процент,,,25-28,,29.1
2013,процент,,,25-28,,17.2
2014,процент,,,25-28,,33.4
2015,процент,,,25-28,,32.5
2016,процент,,,25-28,,32.9
2017,процент,,,25-28,,54.5
2018,процент,,,25-28,,45.8
2010,процент,,,29-34,,47.4
2011,процент,,,29-34,,38.4
2012,процент,,,29-34,,29.6
2013,процент,,,29-34,,41.9
2014,процент,,,29-34,,27.9
2015,процент,,,29-34,,56.7
2016,процент,,,29-34,,31.7
2017,процент,,,29-34,,49.9
2018,процент,,,29-34,,36.1
2010,процент,,,35-44,,35.2
2011,процент,,,35-44,,35.4
2012,процент,,,35-44,,23.5
2013,процент,,,35-44,,34.4
2014,процент,,,35-44,,31.9
2015,процент,,,35-44,,38.6
2016,процент,,,35-44,,40.3
2017,процент,,,35-44,,41.8
2018,процент,,,35-44,,34.1
2010,процент,,,45-54,,44.7
2011,процент,,,45-54,,51.1
2012,процент,,,45-54,,38.6
2013,процент,,,45-54,,47.6
2014,процент,,,45-54,,37.0
